stratum,context,colour,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,northern_midlatitude,green_brown_inconspicuous,pilot,30,conditional_selfing,fit,1986,85,158.0,0.028909749627194496,0.009105580150749719,0.0014986300649081632,0.12257301975325574,0.033451326648722315,0.00024809348616212023,0.007493150324540816,30,fit,1987,85,158.0,0.0230999660128243,0.0093859927923744,0.0138507675009547,0.1238666384381437,0.0342210021438991,0.000295048804693,0.0346269187523869
all_observed,northern_midlatitude,red_pink,pilot,30,conditional_selfing,fit,1986,85,158.0,-0.033158608387042515,0.01186046627623352,0.005178335712862119,-0.014678697001161367,0.024250968422610777,0.5449910275481522,0.012945839282155298,30,fit,1987,85,158.0,-0.0320922447810841,0.0104869538895239,0.0022118440790657,-0.0164111347306319,0.0241594312330914,0.4969574171799915,0.0110592203953285
all_observed,northern_midlatitude,white,pilot,30,conditional_selfing,fit,1986,85,158.0,-0.011829290915320884,0.019899667504264053,0.5522134071358347,-0.037724845424328114,0.02106004381650769,0.07324525040328092,0.5522134071358347,30,fit,1987,85,158.0,-0.010281144524177,0.0193308997339942,0.5948296924792009,-0.0384056178231663,0.0210293784985596,0.0678074915940855,0.598783543589302
all_observed,northern_midlatitude,yellow_orange,pilot,30,conditional_selfing,fit,1986,85,158.0,-0.013339658036678255,0.021220806457665182,0.5296029649994884,-0.11384076723501527,0.03568985265412149,0.0014240889805120303,0.5522134071358347,30,fit,1987,85,158.0,-0.0146222251707796,0.0208833240189373,0.4838107331633292,-0.1135173553571814,0.0358554223963124,0.0015456430775578,0.598783543589302
all_observed,northern_midlatitude,blue_purple,pilot,30,unconditional,fit,2166,85,129.0,-0.008990594728522733,0.011901718012579806,0.45000715141850645,,,,0.532357381491836,30,fit,2167,85,129.0,-0.0057649085119362,0.0113926714877087,0.6128432944084612,,,,0.6128432944084612
all_observed,northern_midlatitude,green_brown_inconspicuous,pilot,30,unconditional,fit,2166,85,129.0,0.03131076952779782,0.00936933758927488,0.0008322686259935945,,,,0.004161343129967973,30,fit,2167,85,129.0,0.0249696642849554,0.0096783285451438,0.0098812830899953,,,,0.0247032077249882
all_observed,northern_midlatitude,red_pink,pilot,30,unconditional,fit,2166,85,129.0,-0.033766747591051,0.011910464292966744,0.004581868506693054,,,,0.011454671266732636,30,fit,2167,85,129.0,-0.0326842056892408,0.0105422191833132,0.0019331459779968,,,,0.009665729889984
all_observed,northern_midlatitude,white,pilot,30,unconditional,fit,2166,85,129.0,-0.012647657636865539,0.020255324974315293,0.532357381491836,,,,0.532357381491836,30,fit,2167,85,129.0,-0.0109313201555841,0.0197260452007511,0.5794716073419562,,,,0.6128432944084612
all_observed,northern_midlatitude,yellow_orange,pilot,30,unconditional,fit,2166,85,129.0,-0.015664731982780178,0.022305370912081426,0.4825013180498906,,,,0.532357381491836,30,fit,2167,85,129.0,-0.0162921710039488,0.0220573386211483,0.460132831847253,,,,0.6128432944084612
all_observed,southern_extratropical,blue_purple,confirmatory,50,conditional_selfing,fit,245,39,55.0,-0.047879787179211694,0.0300969593221441,0.11164304232956303,-0.003449855983115757,0.05222840536905028,0.9473354296058605,0.2791076058239076,50,fit,245,39,55.0,-0.0473998402461703,0.0340011746448745,0.1632980418217859,-0.005237483782386,0.0548204912195199,0.923886875626064,0.4082451045544647
all_observed,southern_extratropical,green_brown_inconspicuous,confirmatory,50,conditional_selfing,fit,245,39,55.0,-0.0007614952100601646,0.03681853804454288,0.9834990200754976,-0.006006130832627132,0.07736485470693007,0.9381193223476949,0.9834990200754976,50,fit,245,39,55.0,0.0081474342922662,0.0353201154430974,0.8175680302053074,-0.010578062929839,0.0793668869487091,0.8939715033753184,0.8175680302053074
all_observed,southern_extratropical,red_pink,confirmatory,50,conditional_selfing,fit,245,39,55.0,0.030041045166107117,0.027642972624315795,0.2771465959904063,-0.03751883689895963,0.0458222552248558,0.412905832035207,0.4598938278294602,50,fit,245,39,55.0,0.0293476472730486,0.0292152350827692,0.3151221108415614,-0.0362484437543315,0.0455304164068077,0.4259524790670235,0.525203518069269
all_observed,southern_extratropical,white,confirmatory,50,conditional_selfing,fit,245,39,55.0,0.03123615903588954,0.019236586485437072,0.10442083182614784,-0.16366116915499396,0.03863209884211273,2.2712819504812787e-05,0.2791076058239076,50,fit,245,39,55.0,0.0358710696072141,0.0189314043710782,0.0581199910960019,-0.1652505942915268,0.0396863760566525,3.1284015004199584e-05,0.2905999554800095
all_observed,southern_extratropical,yellow_orange,confirmatory,50,conditional_selfing,fit,245,39,55.0,-0.021212412886031484,0.023559252880624493,0.3679150622635682,-0.1379968464919924,0.07210251760972948,0.055633221480878466,0.4598938278294602,50,fit,245,39,55.0,-0.0186405615399795,0.0245973526588164,0.4485539828296703,-0.1399605635496891,0.0743760039664787,0.0598635423732748,0.5606924785370879
all_observed,southern_extratropical,blue_purple,confirmatory,50,unconditional,fit,288,40,30.5,-0.04631883641088881,0.029478291683386653,0.11611615772464283,,,,0.5793657018394046,50,fit,288,40,30.5,-0.0474472039979377,0.0336255832544533,0.1582314081827055,,,,0.6269829408343204
all_observed,southern_extratropical,green_brown_inconspicuous,confirmatory,50,unconditional,fit,288,40,30.5,-0.0007430602873164383,0.04086410774924618,0.9854923135930612,,,,0.9854923135930612,50,fit,288,40,30.5,0.0079659367270623,0.0409919182344178,0.8459179311678873,,,,0.8459179311678874
all_observed,southern_extratropical,red_pink,confirmatory,50,unconditional,fit,288,40,30.5,0.025511373795781583,0.027162389473130807,0.34761942110364275,,,,0.5793657018394046,50,fit,288,40,30.5,0.0257336387509208,0.0290795764195628,0.3761897645005922,,,,0.6269829408343204
all_observed,southern_extratropical,white,confirmatory,50,unconditional,fit,288,40,30.5,0.012273290561405602,0.02611615572243841,0.6383906535308526,,,,0.7979883169135658,50,fit,288,40,30.5,0.0153708102297329,0.0269669370625851,0.5686863474915967,,,,0.710857934364496
all_observed,southern_extratropical,yellow_orange,confirmatory,50,unconditional,fit,288,40,30.5,-0.03447323610866958,0.031039274117144033,0.2667264358192744,,,,0.5793657018394046,50,fit,288,40,30.5,-0.0334714456545514,0.0324252375636967,0.3019478797569091,,,,0.6269829408343204
all_observed,southern_extratropical,blue_purple,pilot,30,conditional_selfing,fit,245,39,55.0,-0.047879787179211694,0.0300969593221441,0.11164304232956303,-0.003449855983115757,0.05222840536905028,0.9473354296058605,0.2791076058239076,30,fit,245,39,55.0,-0.0473998402461703,0.0340011746448745,0.1632980418217859,-0.005237483782386,0.0548204912195199,0.923886875626064,0.4082451045544647
