stratum,context,combination,architecture_label,trait_name,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_high_latitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,210,43,5.0,0.053668820768905556,0.15893992782813202,0.7356138983974381,,,,0.7356138983974381
all_observed,northern_high_latitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,204,42,5.0,0.09120059762524413,0.15633683046645824,0.5596512194468586,-0.6680291874438238,0.1465205299574235,5.132751951288975e-06,0.5596512194468586
all_observed,northern_high_latitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,unconditional,fit,210,43,5.0,0.053668820768905556,0.15893992782813202,0.7356138983974381,,,,0.7356138983974381
all_observed,northern_high_latitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,204,42,5.0,0.09120059762524413,0.15633683046645824,0.5596512194468586,-0.6680291874438238,0.1465205299574235,5.132751951288975e-06,0.5596512194468586
all_observed,northern_high_latitude,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,200,46,7.0,-0.35809156706396833,0.15237524510684006,0.0187701870051048,,,,0.0437971030119112
all_observed,northern_high_latitude,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,192,44,7.0,-0.35458375653580276,0.15285264073154195,0.020353044410887082,-0.10334773061572111,0.14050542413221387,0.4620090812490488,0.047490436958736525
all_observed,northern_high_latitude,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,unconditional,fit,200,46,7.0,-0.35809156706396833,0.15237524510684006,0.0187701870051048,,,,0.0437971030119112
all_observed,northern_high_latitude,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,192,44,7.0,-0.35458375653580276,0.15285264073154195,0.020353044410887082,-0.10334773061572111,0.14050542413221387,0.4620090812490488,0.047490436958736525
all_observed,northern_high_latitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,201,43,7.0,-0.37201352540669674,0.23035616847785337,0.10632168190623933,,,,0.17965758530584708
all_observed,northern_high_latitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,199,43,7.0,-0.35178856675832826,0.2295455326737587,0.12538831511960383,-0.08128647209783191,0.31798828279767716,0.7982386704200233,0.19504849018605042
