accepted_species,source_excel_row,SI,SC,Mixed mating,autonomous selfing/agagamospermy,evidence for selfing,references,notes,notes.1,notes.2,locality,review_status,source_record,source_sha256,compatibility_flag_present
Rudolfiella aurantiaca,1547,,,,,,Davies & Stpiczynska 2008,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Trichopilia fragrans,1579,,1,1,1,1,"Ridley 1888, Karremans in ed video",,a Brazilian form is cleistogamous,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Trichopilia subulata,1583,,,,,,"Williams 1982, Ramirez et al. 2002",*bees caught with pollinaria,,,"C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Trizeuxis falcata,1584,,1,1,1,2,"Dodson & Dodson 1980, Kirchner 1922 cited by Catling 1990; Pansarin et al. 2020",,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Zygostates lunata,1592,,,,,,Pansarin et al. 2020,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Catasetum barbatum,1595,,,,,,"Williams & Dodson 1972*, Dodson in Ramirez et al. 2002, Milet-Pinheiro & Gerlach 2017",*bees reported with pollinaria,,,S Am ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Catasetum discolor,1602,,,,,,"Milet-Pinheiro & Gerlach 2017, Ramirez et al. 2002, Whitten et al. 1986; Dodson 1978b",,,,"S Am (Bra, Guyana)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Catasetum integerrimum,1613,,,,,,"Damon & Salas-Roblero 2007, Pollard in Dodson 1967a cited by Ramirez et al. 2002, Whitten et al. 1986",,,,Mex,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Catasetum luridum,1617,,,,,,Milet-Pinheiro & Gerlach 2017,,,,S Am Bra Sur,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Catasetum macrocarpum,1618,,,,,,"Milet-Pinheiro & Gerlach 2017, Ramírez et al 2002",*bees caught with pollinaria,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Catasetum maculatum,1620,,,,,,"Milet-Pinheiro & Gerlach 2017, Whitten et al. 1986",,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Clowesia warczewitzii,1650,,,,,,"Ackerman 1983, Williams & Whitten 1983, Dodson 1975d; Roubik & Hanson 2004",,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cycnoches warszewiczii,1666,,,,,,Mendez & Obregón 2019,,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Peristeria elata,1702,,,,,,Ackerman 1983*Dressler 1968; Dodson 1966,*caught bees with pollinaria,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Peristeria pendula,1704,,,,,,"Dressler 1968, Dodson 1965a cited by Ramirez et al. 2002, Dodson 1966c",,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Bifrenaria aureofulva,1713,,,,,,Singer & Koehler 2004,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Maxillaria crocea,1774,,,,,,Singer & Koehler 2004,as M. lindleyana,,,S Am Bra ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Xylobium colleyi,1839,,,,,,Singer & Koehler 2004,,,,"C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Xylobium foveatum,1841,,,,,,Singer & Koehler 2004,,,,"Mex, C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Xylobium variegatum,1844,,,,,,Singer & Koehler 2004; Dodson in van der Pijl & Dodson 1966,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Coryanthes macrantha,1867,,,,,,"Dodson 1965b; Ramirez et al. 2002, Dodson 1962a, Dodson in Ramirez et al. 2002, Gerlach & Schill 1989",*bees caught with pollinaria,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Coryanthes maculata,1868,,,,,,Gerlach & Schill 1989; Gerlach et al. 2016,as C. parkeri,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Coryanthes speciosa,1876,,,,,,"Gerlach & Schill 1989, Dodson in Ramirez et al. 2002",*bees caught with pollinaria,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gongora atropurpurea,1884,,,,,,"Dressler pers obs cited by Hetherington-Rauth & Ramírez 2015, Dodson 1966c",,,,"S Am, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gongora maculata,1895,,,,,,Dodson 1966c Hetherington-Rauth & Ramirez 2015,,,,"C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Kegeliella houtteana,1907,,,,,,Ramírez et al. 2002,*bees caught with pollinaria,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Paphinia cristata,1912,,,,,,"Dodson in Williams pers comm, Dressler 1968, Hentrich et al. 2019",,,,"Trinidad, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stanhopea cirrhata,1931,,,,,,"Dressler 1968b, 1976b*",bees caught with pollinaria,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stanhopea grandiflora,1940,,,,,,"Whitten 1992, Dressler 1982, Whitten & Williams 1992, Dressler in Ramirez et al. 2002",*bees caught with pollinaria,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stanhopea jenischiana,1945,,,,,,Whitten & Williams 1992,,,,S Am Ven Col Ecu Per,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stanhopea oculata,1950,,,,,,"Whitten & Williams 1992, Dodson 1962, Dodson 1967a cited by Ramirez et al. 2002, Dodson & Frymire 1961a, Gerlach 2009c",,,,Mex,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stanhopea tigrina,1959,,,,,,"Williiams & Whitten 1983, Ramírez et al. 2002, Gerlach 2009c",,,,Mex,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stanhopea wardii,1961,,,,,,"Dodson 1975a, Williams & Whitten 1988, ",,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Batemannia colleyi,1967,,,,,,Vogel 1969; Dunsterville & Garay 1959,,,,S Am WI Trin Ven Col Ecu Per Bol Bra Sur Guy FrG,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cochleanthes flabelliformis,1976,,1,,1,2,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Dichaea glauca,1981,,1,,1,2,Pupulin 2007,,,,"WI, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Dichaea hystricina,1982,,1,,1,2,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Dichaea latifolia,1983,,1,,1,2,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Dichaea panamensis,1984,,,,,,"Dressler 1968*, Ramirez et al. 2002, Ackerman 1983a*","*bees caught with pollinaria, Ackerman 1983 identifications verified by Dressler",,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Dichaea pendula,1986,1,,,,1,"Nunes et al. 2016, 2017",,,Weevils do same as in D. cogniauxiana,S Am Bra (São Paulo),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Huntleya burtii,1992,,,,,,Roubik & Hanson 2004; Dodson 1965 cited by van der Pijl & Dodson 1966 as H. meleagris,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Promenaea xanthina,2004,,1,,,1,Nunes et al. 2017,,,,S Am (São Paulo),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Warczewiczella lipscombiae,2006,,,,,2,Ackerman 1983b; Roubik & Hanson 2004,,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Zygopetalum maculatum,2010,,1,,,1,Nunes et al. 2017,,as Z. mackayi,Montella weevilslarvae eat ovary tissues ,S Am Bra (São Paulo),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Wullschlaegelia calcarata,2015,,1,,1,2,Ackerman et al 2014,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Codonorchis lessonii,2036,,1,,1,,Reiche 1910 cited by Catling 1990,,,,S Am Chi,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cranichis muscosa,2040,,1,,1,2,Ackerman in Catling 1990,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Anoectochilus longicalcaratus,2048,,1,,1,2,Smith 1928 cited by Catling 1990,,,,Malesia (Sumatra),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cheirostylis clibborndyeri,2052,,1,,1,,Ormerod & Cribb 2003a,as C. derchiensis,,,"Asia SE China , Taiwan",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cheirostylis nuda,2054,,1,,1,1,"Ormerod & Cribb 2003a, Jacquemyn et al. 2005",,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cheirostylis takeoi,2055,,1,,1,,Ormerod & Cribb 2003a,,,,"SE Asia, Ryukyu Islands, Taiwan",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cystorchis aphylla,2056,,1,,1,2,"Chan et al. 1994, cited by Ormerod & Cribb 2003b; Smith 1928 cited by Catling 1990",,,,Malesia (Java),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Danhatchia australis,2057,,1,,1,,Ormerod & Cribb 2003c,,,,Malaysia E Indies,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Erythrodes oxyglossa,2058,,1,,1,2,Kores 1989,,,,Fiji,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Erythrodes parvula,2059,,1,,1,2,Kores 1989,,,,Fiji,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Hetaeria callosa,2073,,1,,1,,Ormerod & Cribb 2003d,,,,"Malesia, New Guinea, Melanesia",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Lepidogyne longifolia,2075,,1,,1,2,Smith 1928 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Ludisia discolor,2076,,,,,,Zhang et al. 2010; Ridley 1896,,Ridley described pollination by Plesioneura,,Asia Malaysia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Microchilus familiaris,2079,,1,,1,,Ormerod 2009,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Microchilus hirtellus,2080,,1,,1,,Ormerod & Cribb 2003f,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Microchilus plantagineus,2081,,1,,1,,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Discyphus scopulariae,2083,,1,,1,2,Burns-Balogh 1984 cited by Catling 1990,,,,"C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pterostylis acuminata,2084,,,,,,Hayashi et al. 2025,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis aphylla,2086,,1,1,1,,Kuiter 2016,,,,SW Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pterostylis barbata,2087,,,,,,Hayashi et al. 2025,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis boormanii,2089,,,,,,Reiter et al. 2019; Hayashi et al. 2025,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis cardiostigma,2090,,1,,1,2,Cooper 1983,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pterostylis cucullata,2093,,,,,,Hayashi et al. 2025,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis curta,2094,,,,,,Bernhardt 1995; Reiter et al. 2019,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis cycnocephala,2095,,,,,,Hayashi et al. 2022; Hayashi et al. 2025,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis foliata,2097,,1,1,1,2,Bates 1978 cited by Catling 1990,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pterostylis grandiflora,2099,,,,,,Kuiter 2020,not tested/confirmed,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis humilis,2100,,1,,1,2,Hatch 1945,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pterostylis jonesii,2102,,,,,,Hayashi et al. 2025,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis longifolia,2103,,,,,,Hayashi et al. 2025,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis lustra,2104,,,,,,Kuiter 2016,not tested/confirmed,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis nana,2105,,,,,,Kuiter 2020,not tested/confirmed,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis nutans,2106,,,,,,Reiter et al. 2019,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis plumosa,2112,,,,,,,,,,,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis recurva,2114,,1,,,1,Retter 2009,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pterostylis tunstallii,2118,,,,,,Kuiter 2016,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pterostylis venosa,2120,,,,,,Thalwitzer et a. 2018,not confirmed,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cyclopogon elatus,2126,,1,,,1,"Benitez-Vieyra et al. 2006, 2012",,,,S Am Arg,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Eurystyles actinosophila,2131,,1,,1,2,Szlachetko 1992,as E. borealis,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Eurystyles cotyledon,2133,,1,,1,2,Dodson in Catling 1990,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Stenorrhynchos speciosum,2171,,,,,,Siegel 2011,,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Acianthus amplexicaulis,2172,,1,,1,2,Jones 1988,,including A. sublestus,,"Austra, New Caledonia",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Acianthus caudatus,2173,,,,,,Jones 1974 cited by Beardsell & Bernhardt 1982,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Acianthus pusillus,2174,,,,,,Kuiter 2016; Bernhardt & Kuiter 2022,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Acianthus sinclairii,2175,,,,,,Cheeseman 1875,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Corybas cheesemanii,2176,,,,,,Kelly et al. 2013,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Corybas cryptanthus,2177,,1,,1,2,Hatch 1952,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Corybas despectans,2178,,1,,1,,Bates 1978 cited by Catling 1990,,,,SW Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Corybas diemenicus,2179,,,,,,Jones 1970; Bernhardt & Kuiter 2022,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Corybas geminigibbus,2180,,1,,,1,Han et al. 2022,,,,China,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Corybas incurvus,2181,,,,,,Kuiter 2016,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Corybas macranthus,2182,,,,,,Thomson 1878,Thomson had doubts of his ID and Bower 2001c suggests that it is likely a mycetophilid,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Corybas oblongus,2183,,,,,,Miller 1918,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cyrtostylis huegelii,2185,,,,,,Bower 2001; Erickson 1965 cited by Bower 2001d,,,,Australia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cyrtostylis oblonga,2186,,,,,,Cheesman 1875,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cyrtostylis reniformis,2187,,,,,,Kuiter 2016,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stigmatodactylus croftianus,2188,,1,,1,,Kores 1991,,,,Australia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Stigmatodactylus variegatus,2190,,1,,1,,Kores 1991,,,,Australia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Stigmatodactylus sikokianus,2191,,1,,1,1,Suetsugu 2025,,,,Japan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Townsonia viridis,2192,,1,,1,2,Jones 1988 as Acianthus viridis,,,,Australia (Tasmania),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Adenochilus gracilis,2193,,1,,1,,van der Cingel 2001,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Aporostylis bifolia,2194,,,,,,Molloy 1990 cited by Weston et al. 2014,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Eriochilus cucullatus,2305,,,,,,Bates 1987 cited by Weston et al. 2014,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Eriochilus dilatatus,2306,,,,,,Brundrett 2019,"non-native; also mentioned ""native bees"" but without specificis",,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Leptoceras menziesii,2308,,,,,,"Jones 2006, Brundrett 2019",,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pheladenia deformis,2309,,,,,,Rogers in Bower 2001r,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cryptostylis arachnites,2311,,1,,1,2,Forbes 1885,,,,Malesia (Java),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cryptostylis erecta,2312,,1,,,1,Coleman 1930a; Gaskett et al. 2008; Weinstein 2020,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cryptostylis hunteriana,2313,,,,,,Nicholls 1938 ,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
