island_id,analysis_regime,island_latitude,island_longitude,distance_to_continent_km,spherical_coast_distance_km,seconds,island_segment_count
gshhg_2.3.7_h_18b0c79cf41732a28e53,northern_midlatitude,27.729748307692308,-82.74447535896839,0.0,0.0610721899702231,0.0319999998901039,24
gshhg_2.3.7_h_18c7f20e2ebcc4f067c5,northern_midlatitude,38.27513253846154,-76.17964258976465,0.0,0.3594600264183862,0.0,30
gshhg_2.3.7_h_19368c96d5a8597d85b9,tropical,-2.2685084615384614,-79.9501539074557,0.0,0.1731147099279079,0.0469999997876584,31
gshhg_2.3.7_h_19450ae8507b0cf3fe59,northern_midlatitude,41.53585811538461,-71.27578402170306,0.0,0.2762360705046499,0.0310000001918524,67
gshhg_2.3.7_h_197fc4702a44792cb36d,northern_midlatitude,63.294391,22.152730253896564,0.0,0.8073272372802583,0.0779999999795109,94
gshhg_2.3.7_h_1987b5c34e463260c178,northern_high_latitude,73.40359446153846,126.58133654561831,0.0,0.4867360573204594,0.0,14
gshhg_2.3.7_h_19ccc8179f6f96eec416,northern_midlatitude,63.29213007692307,21.74117574144322,0.0,1.1974003321663558,0.0150000001303851,27
gshhg_2.3.7_h_19d977daaa74c688d9a3,northern_midlatitude,59.74358138461538,5.696767406256875,0.0,6.050398741978938,0.0309999999590218,12
gshhg_2.3.7_h_1a2993abaf37c15d913e,northern_midlatitude,66.26841676923077,33.87327111353299,0.0,0.9272676103653834,0.0150000001303851,18
gshhg_2.3.7_h_1a3ec97b3bc72dc19bc5,northern_midlatitude,65.67875,12.099358939916431,0.0,11.23684488399398,0.0470000000204891,16
gshhg_2.3.7_h_1aaf464357231dadb27f,northern_high_latitude,69.40280984615384,33.06937255449724,0.0,0.2044153829678201,0.0160000000614672,24
gshhg_2.3.7_h_1acfe71d002a26c4a2e6,northern_midlatitude,55.87595723076923,-131.63696251429795,0.0,2.216218839630724,0.0159999998286366,15
gshhg_2.3.7_h_1b8800ce39f8fe7eb648,northern_midlatitude,59.06005538461538,11.032975321888326,0.0,3.519387822176841,0.0469999997876584,40
gshhg_2.3.7_h_1bbd239a0b543b24a3aa,northern_midlatitude,63.53573715384615,8.724098642931795,0.0,3.9964311714905967,0.1099999998696148,260
gshhg_2.3.7_h_1bd8c0a9a707c9e03b5f,northern_midlatitude,60.51273684615385,-146.06987700539938,0.0,1.404570805205807,0.0470000000204891,114
gshhg_2.3.7_h_1bf2d6f8877cdce5a502,northern_midlatitude,59.22820969230769,5.475129567306693,0.0,2.539210680662828,0.0,15
gshhg_2.3.7_h_1c01c9418f1f6a9b0ad3,tropical,20.90860869230769,110.5989340841119,0.0,19.79384368970536,0.0309999999590218,43
gshhg_2.3.7_h_1c81f8cefcdef016de6a,northern_high_latitude,68.36447907692308,38.45912987014487,0.0,0.0562811871589727,0.0160000000614672,15
gshhg_2.3.7_h_1c90834dbf021d4c9729,northern_midlatitude,25.792318615384616,-81.36430873557353,0.0,0.0159240064476076,0.0160000000614672,22
gshhg_2.3.7_h_1c94c847f47ef842cc7a,northern_midlatitude,58.05993176923077,-154.49172228488013,0.0,0.9531923004841664,0.0160000000614672,18
gshhg_2.3.7_h_1cfe4987e85ed35bb473,northern_midlatitude,56.643506384615385,-132.45827753615478,0.0,0.0163844899853904,0.0319999998901039,46
gshhg_2.3.7_h_1d6cfdbce590251213fe,northern_midlatitude,38.869619692307694,-9.003759036055763,0.0,0.455542976763168,0.0150000001303851,9
gshhg_2.3.7_h_1d7bd67ecd269a44587d,tropical,-0.5943676923076923,-47.72714200957063,0.0,0.1902486180576835,0.0159999998286366,44
gshhg_2.3.7_h_1e2fcd9df57b541e594f,northern_midlatitude,25.74435046153846,-80.15885000720337,0.0,1.5883529438580752,0.0309999999590218,12
gshhg_2.3.7_h_1e687373c78fe2c23396,tropical,20.800132769230768,107.0165853915722,0.0,7.088179839193272,0.0470000000204891,228
gshhg_2.3.7_h_1e70c8079db43a804521,northern_midlatitude,60.42926315384615,-145.49441690861929,0.0,0.0293756289772737,0.0309999999590218,11
gshhg_2.3.7_h_1e80d743a5e233a4d70f,northern_midlatitude,51.06924776923077,-127.56419970793893,0.0,0.010971911284223,0.0469999997876584,31
gshhg_2.3.7_h_1f07f77190031636df73,tropical,-2.72112,-44.38155234021454,0.0,0.8742791006309176,0.0310000001918524,15
gshhg_2.3.7_h_1f66af42fb30f4698545,northern_midlatitude,29.12399169230769,121.83536100016526,0.0,2.1387212048609734,0.0159999998286366,39
