"","genus_species","Family","mating_system"
"2553","Lepechinia speciosa","Lamiaceae","sc"
"2554","Lepidium appelianum","Brassicaceae","si"
"2555","Lepidium campestre","Brassicaceae","sc"
"2556","Lepidium chalepense","Brassicaceae","si"
"2557","Lepidium coronopus","Brassicaceae","sc"
"2558","Lepidium densiflorum","Brassicaceae","sc"
"2559","Lepidium draba","Brassicaceae","si"
"2560","Lepidium fremontii","Brassicaceae","si"
"2561","Lepidium latifolium","Brassicaceae","sc"
"2562","Lepidium meyenii","Brassicaceae","sc"
"2563","Lepidium montanum","Brassicaceae","si"
"2564","Lepidium papilliferum","Brassicaceae","sc"
"2565","Lepidium perfoliatum","Brassicaceae","sc"
"2566","Lepidium pseudohyssopifolium","Brassicaceae","sc"
"2567","Lepidium ruderale","Brassicaceae","sc"
"2568","Lepidium spinosum","Brassicaceae","sc"
"2569","Leptinella atrata","Asteraceae","sc"
"2570","Leptinella minor","Asteraceae","sc"
"2571","Leptosiphon bicolor","Polemoniaceae","sc"
"2572","Leptosiphon jepsonii","Polemoniaceae","na"
"2573","Leptostelma maximum","Asteraceae","sc"
"2574","Lespedeza bicolor","Fabaceae","sc"
"2576","Lespedeza capitata","Fabaceae","sc"
"2577","Lespedeza cuneata","Fabaceae","sc"
"2578","Lespedeza daurica","Fabaceae","sc"
"2579","Lespedeza floribunda","Fabaceae","sc"
"2580","Lespedeza inschanica","Fabaceae","sc"
"2581","Lespedeza leptostachya","Fabaceae","sc"
"2582","Lespedeza repens","Fabaceae","sc"
"2583","Lespedeza stuevei","Fabaceae","sc"
"2585","Lespedeza virgata","Fabaceae","sc"
"2586","Lespedeza virginica","Fabaceae","sc"
"2587","Leucaena collinsii","Fabaceae","si"
"2588","Leucaena diversifolia","Fabaceae","sc"
"2589","Leucaena esculenta","Fabaceae","si"
"2590","Leucaena greggii","Fabaceae","si"
"2591","Leucaena lanceolata","Fabaceae","si"
"2592","Leucaena leucocephala","Fabaceae","na"
"2593","Leucaena macrophylla","Fabaceae","si"
"2594","Leucaena multicapitula","Fabaceae","si"
"2595","Leucaena pallida","Fabaceae","si"
"2596","Leucaena pulverulenta","Fabaceae","si"
"2597","Leucaena retusa","Fabaceae","si"
"2598","Leucaena salvadorensis","Fabaceae","si"
"2599","Leucaena shannonii","Fabaceae","si"
"2600","Leucaena trichodes","Fabaceae","si"
"2601","Leucanthemum vulgare","Asteraceae","si"
"2602","Leucheria congesta","Asteraceae","sc"
"2603","Leucheria hahnii","Asteraceae","si"
"2604","Leucheria leontopodioides","Asteraceae","si"
"2605","Leucochrysum albicans","Asteraceae","si"
"2606","Leucosceptrum canum","Lamiaceae","sc"
"2607","Liatris aspera","Asteraceae","si"
"2608","Liatris cylindracea","Asteraceae","si"
"2609","Liatris helleri","Asteraceae","si"
"2610","Liatris ligulistylis","Asteraceae","si"
"2613","Liatris ohlingerae","Asteraceae","si"
"2614","Liatris scariosa","Asteraceae","sc"
"2615","Liatris spicata","Asteraceae","si"
"2616","Liatris squarrulosa","Asteraceae","sc"
"2617","Libanothamnus neriifolius","Asteraceae","si"
"2618","Libidibia ferrea","Fabaceae","na"
"2619","Lilium pomponium","Liliaceae","si"
"2620","Limnanthes alba","Limnanthaceae","sc"
"2621","Limnanthes bakeri","Limnanthaceae","sc"
"2622","Limonium binervosum","Plumbaginaceae","si"
"2623","Limonium dodartii","Plumbaginaceae","si"
"2624","Limonium nydeggeri","Plumbaginaceae","si"
"2625","Limonium ovalifolium","Plumbaginaceae","si"
"2626","Linaria cavanillesii","Plantaginaceae","na"
"2627","Linaria tonzigii","Plantaginaceae","sc"
"2628","Lindera glauca","Lauraceae","na"
"2629","Lindera obtusiloba","Lauraceae","si"
"2630","Lindera umbellata","Lauraceae","si"
"2631","Linum arenicola","Linaceae","sc"
"2632","Linum sulcatum","Linaceae","sc"
"2633","Liparis kumokiri","Orchidaceae","sc"
"2634","Liparis makinoana","Orchidaceae","si"
"2635","Lipochaeta connata","Asteraceae","sc"
"2636","Lipochaeta lobata","Asteraceae","sc"
"2637","Lipochaeta rockii","Asteraceae","sc"
"2638","Lipochaeta succulenta","Asteraceae","sc"
"2639","Liquidambar acalycina","Altingiaceae","si"
"2640","Liquidambar formosana","Altingiaceae","si"
"2641","Liquidambar styraciflua","Altingiaceae","si"
"2642","Liriodendron chinense","Magnoliaceae","si"
"2643","Liriodendron tulipifera","Magnoliaceae","na"
"2644","Lithocarpus glaber","Fagaceae","si"
"2645","Lithocarpus litseifolius","Fagaceae","si"
"2646","Lloydia oxycarpa","Liliaceae","sc"
"2647","Lobelia camporum","Campanulaceae","si"
"2648","Lobelia cardinalis","Campanulaceae","sc"
"2649","Lobelia siphilitica","Campanulaceae","sc"
"2650","Lobularia arabica","Brassicaceae","sc"
"2651","Lobularia canariensis","Brassicaceae","si"
"2652","Lobularia libyca","Brassicaceae","sc"
"2653","Logfia gallica","Asteraceae","sc"
"2654","Loiseleuria procumbens","Ericaceae","na"
"2655","Lolium multiflorum","Poaceae","si"
"2656","Lolium perenne","Poaceae","na"
"2657","Lomatium dissectum","Apiaceae","sc"
"2658","Lonchocarpus costaricensis","Fabaceae","si"
"2659","Lonchocarpus cultratus","Fabaceae","si"
"2660","Lonchocarpus eriocarinalis","Fabaceae","si"
"2661","Lonchocarpus guatemalensis","Fabaceae","sc"
"2663","Lonchocarpus hedyosmus","Fabaceae","na"
"2664","Lonchocarpus lanceolatus","Fabaceae","sc"
"2665","Lonicera oblata","Caprifoliaceae","sc"
"2666","Lopezia grandiflora","Onagraceae","sc"
"2667","Lopezia laciniata","Onagraceae","sc"
"2668","Lopezia langmaniae","Onagraceae","sc"
"2669","Lopezia lopezioides","Onagraceae","sc"
"2670","Lopezia racemosa","Onagraceae","sc"
"2671","Lopezia riesenbachia","Onagraceae","sc"
"2672","Lophophora diffusa","Cactaceae","si"
"2673","Lotononis burchellii","Fabaceae","sc"
"2674","Lotononis laxa","Fabaceae","sc"
"2675","Lotononis leptoloba","Fabaceae","sc"
"2676","Lotononis macrosepala","Fabaceae","sc"
"2677","Lotononis maculata","Fabaceae","sc"
"2679","Lotononis maximiliani","Fabaceae","sc"
"2680","Lotononis micrantha","Fabaceae","sc"
"2682","Lotononis sparsiflora","Fabaceae","sc"
"2683","Lotononis tenella","Fabaceae","sc"
"2684","Lotus angustissimus","Fabaceae","sc"
"2685","Lotus berthelotii","Fabaceae","si"
"2687","Lotus conimbricensis","Fabaceae","sc"
"2688","Lotus corniculatus","Fabaceae","na"
"2689","Lotus edulis","Fabaceae","sc"
"2690","Lotus halophilus","Fabaceae","sc"
"2691","Lotus hispidus","Fabaceae","sc"
"2693","Lotus jacobaeus","Fabaceae","si"
"2694","Lotus krylovii","Fabaceae","sc"
"2695","Lotus ornithopodioides","Fabaceae","sc"
"2696","Lotus palustris","Fabaceae","sc"
"2697","Lotus parviflorus","Fabaceae","sc"
"2698","Lotus peregrinus","Fabaceae","sc"
"2699","Lotus sergievskiae","Fabaceae","sc"
"2700","Lotus uliginosus","Fabaceae","na"
"2702","Lotus weilleri","Fabaceae","sc"
"2703","Ludwigia curtissii","Onagraceae","sc"
"2704","Ludwigia hyssopifolia","Onagraceae","sc"
"2705","Ludwigia inclinata","Onagraceae","sc"
"2706","Ludwigia lanceolata","Onagraceae","sc"
"2707","Ludwigia linearis","Onagraceae","sc"
"2708","Ludwigia linifolia","Onagraceae","sc"
"2709","Ludwigia microcarpa","Onagraceae","sc"
"2710","Ludwigia nervosa","Onagraceae","si"
"2711","Ludwigia octovalvis","Onagraceae","sc"
"2712","Ludwigia peploides","Onagraceae","sc"
"2713","Ludwigia peruviana","Onagraceae","si"
"2714","Ludwigia polycarpa","Onagraceae","sc"
"2715","Ludwigia ravenii","Onagraceae","sc"
"2716","Ludwigia simpsonii","Onagraceae","sc"
"2717","Ludwigia spathulata","Onagraceae","sc"
"2718","Ludwigia suffruticosa","Onagraceae","sc"
"2719","Luehea candida","Malvaceae","na"
"2720","Luehea divaricata","Malvaceae","si"
"2721","Luma apiculata","Myrtaceae","si"
"2722","Lupinus affinis","Fabaceae","sc"
"2723","Lupinus albus","Fabaceae","sc"
"2724","Lupinus angustifolius","Fabaceae","sc"
"2725","Lupinus arboreus","Fabaceae","sc"
"2726","Lupinus bicolor","Fabaceae","sc"
"2727","Lupinus gibertianus","Fabaceae","sc"
"2728","Lupinus luteus","Fabaceae","sc"
"2730","Lupinus microcarpus","Fabaceae","sc"
"2731","Lupinus mutabilis","Fabaceae","sc"
"2732","Lupinus nanus","Fabaceae","sc"
"2741","Lupinus pachylobus","Fabaceae","sc"
"2742","Lupinus palaestinus","Fabaceae","sc"
"2743","Lupinus perennis","Fabaceae","sc"
"2744","Lupinus pilosus","Fabaceae","sc"
"2748","Lupinus polycarpus","Fabaceae","sc"
"2749","Lupinus succulentus","Fabaceae","sc"
"2750","Lupinus sulphureus","Fabaceae","sc"
"2751","Lupinus texensis","Fabaceae","sc"
"2752","Lupinus villosus","Fabaceae","sc"
"2753","Lupinus westianus","Fabaceae","sc"
"2754","Luzula alpinopilosa","Juncaceae","sc"
"2755","Lycianthes ciliolata","Solanaceae","si"
"2756","Lycianthes heteroclita","Solanaceae","sc"
"2757","Lycianthes laevis","Solanaceae","sc"
"2758","Lycianthes rantonnetii","Solanaceae","si"
"2759","Lycium andersonii","Solanaceae","si"
"2760","Lycium berlandieri","Solanaceae","si"
"2762","Lycium boerhaviifolium","Solanaceae","si"
"2763","Lycium brevipes","Solanaceae","si"
"2764","Lycium californicum","Solanaceae","si"
"2765","Lycium carolinianum","Solanaceae","sc"
"2766","Lycium cestroides","Solanaceae","si"
"2767","Lycium chinense","Solanaceae","si"
"2768","Lycium cinereum","Solanaceae","si"
"2770","Lycium cooperi","Solanaceae","si"
"2771","Lycium ferocissimum","Solanaceae","si"
"2772","Lycium hirsutum","Solanaceae","si"
"2773","Lycium minimum","Solanaceae","sc"
"2774","Lycium pallidum","Solanaceae","si"
"2775","Lycium parishii","Solanaceae","si"
"2776","Lycium pumilum","Solanaceae","si"
"2777","Lycium torreyi","Solanaceae","si"
"2778","Lycopus europaeus","Lamiaceae","sc"
"2779","Lysimachia arvensis","Primulaceae","sc"
"2781","Lysimachia vulgaris","Primulaceae","si"
"2782","Lythrum salicaria","Lythraceae","si"
"2783","Mabea fistulifera","Euphorbiaceae","si"
"2784","Macadamia integrifolia","Proteaceae","si"
"2785","Macairea radula","Melastomataceae","sc"
"2786","Machaerium moritzianum","Fabaceae","na"
"2787","Machaerium opacum","Fabaceae","si"
"2788","Machaerium robiniifolium","Fabaceae","si"
"2789","Macroptilium atropurpureum","Fabaceae","sc"
"2791","Macroptilium bracteatum","Fabaceae","sc"
"2792","Macroptilium erythroloma","Fabaceae","sc"
"2793","Macroptilium fraternum","Fabaceae","sc"
"2794","Macroptilium gibbosifolium","Fabaceae","sc"
"2795","Macroptilium gracile","Fabaceae","sc"
"2797","Macroptilium lathyroides","Fabaceae","sc"
"2798","Macroptilium martii","Fabaceae","sc"
"2799","Macroptilium panduratum","Fabaceae","sc"
"2801","Macroptilium pedatum","Fabaceae","sc"
"2802","Macroptilium psammodes","Fabaceae","sc"
"2803","Macrotyloma africanum","Fabaceae","sc"
"2804","Macrotyloma axillare","Fabaceae","sc"
"2805","Macrotyloma daltonii","Fabaceae","sc"
"2806","Macrotyloma maranguense","Fabaceae","sc"
"2807","Macrotyloma uniflorum","Fabaceae","sc"
"2808","Madia anomala","Asteraceae","sc"
"2809","Madia chilensis","Asteraceae","sc"
"2810","Madia citrigracilis","Asteraceae","sc"
"2811","Madia citriodora","Asteraceae","sc"
"2812","Madia elegans","Asteraceae","si"
"2814","Madia exigua","Asteraceae","sc"
"2816","Madia glomerata","Asteraceae","sc"
"2817","Madia gracilis","Asteraceae","sc"
"2819","Madia radiata","Asteraceae","si"
"2820","Madia sativa","Asteraceae","sc"
"2821","Madia subspicata","Asteraceae","sc"
"2822","Madia yosemitana","Asteraceae","sc"
"2823","Magnolia fraseri","Magnoliaceae","si"
"2824","Magnolia grandiflora","Magnoliaceae","sc"
"2825","Magnolia macrophylla","Magnoliaceae","si"
"2826","Magnolia obovata","Magnoliaceae","sc"
"2827","Magnolia stellata","Magnoliaceae","na"
"2828","Magnolia tripetala","Magnoliaceae","si"
"2829","Malacothrix incana","Asteraceae","sc"
"2830","Malaxis monophyllos","Orchidaceae","si"
"2831","Malcolmia africana","Brassicaceae","sc"
"2832","Malcolmia chia","Brassicaceae","sc"
"2833","Malpighia emarginata","Malpighiaceae","si"
"2834","Malpighia glabra","Malpighiaceae","si"
"2835","Malus sylvestris","Rosaceae","si"
"2836","Malva moschata","Malvaceae","sc"
"2837","Malvastrum coromandelianum","Malvaceae","sc"
"2838","Mammillaria magnimamma","Cactaceae","na"
"2839","Mandragora caulescens","Solanaceae","sc"
"2840","Mandragora officinarum","Solanaceae","si"
"2842","Manihot esculenta","Euphorbiaceae","sc"
"2843","Manilkara maxima","Sapotaceae","si"
"2844","Maranta arundinacea","Marantaceae","na"
"2845","Maresia nana","Brassicaceae","sc"
"2846","Maresia pulchella","Brassicaceae","si"
"2847","Marsilea drummondii","Marsileaceae","na"
"2848","Marsypianthes chamaedrys","Lamiaceae","sc"
"2849","Matricaria discoidea","Asteraceae","sc"
"2850","Matthiola incana","Brassicaceae","sc"
"2851","Matthiola longipetala","Brassicaceae","si"
"2852","Matthiola parviflora","Brassicaceae","si"
"2853","Matthiola tricuspidata","Brassicaceae","si"
"2854","Mauranthemum decipiens","Asteraceae","si"
"2855","Mauritia flexuosa","Arecaceae","si"
"2856","Mauritiella armata","Arecaceae","si"
"2857","Maytenus boaria","Celastraceae","na"
"2858","Mazus miquelii","Mazaceae","sc"
"2859","Medicago arabica","Fabaceae","sc"
"2860","Medicago arborea","Fabaceae","sc"
"2861","Medicago blancheana","Fabaceae","sc"
"2862","Medicago bonarotiana","Fabaceae","sc"
"2863","Medicago brachycarpa","Fabaceae","sc"
"2864","Medicago constricta","Fabaceae","sc"
"2865","Medicago coronata","Fabaceae","sc"
"2866","Medicago doliata","Fabaceae","sc"
"2868","Medicago fischeriana","Fabaceae","sc"
"2869","Medicago granadensis","Fabaceae","sc"
"2870","Medicago heyniana","Fabaceae","sc"
"2871","Medicago hybrida","Fabaceae","sc"
"2872","Medicago intertexta","Fabaceae","sc"
"2873","Medicago laciniata","Fabaceae","sc"
"2874","Medicago lanigera","Fabaceae","sc"
"2875","Medicago littoralis","Fabaceae","sc"
"2878","Medicago lupulina","Fabaceae","sc"
"2879","Medicago medicaginoides","Fabaceae","sc"
"2880","Medicago minima","Fabaceae","sc"
"2882","Medicago monantha","Fabaceae","sc"
"2883","Medicago murex","Fabaceae","sc"
"2884","Medicago muricoleptis","Fabaceae","sc"
"2885","Medicago noeana","Fabaceae","sc"
"2886","Medicago orbicularis","Fabaceae","sc"
"2887","Medicago orthoceras","Fabaceae","sc"
"2888","Medicago polyceratia","Fabaceae","sc"
"2889","Medicago polymorpha","Fabaceae","sc"
"2894","Medicago praecox","Fabaceae","sc"
"2895","Medicago radiata","Fabaceae","sc"
"2896","Medicago rigidula","Fabaceae","sc"
"2897","Medicago rigiduloides","Fabaceae","sc"
"2898","Medicago rotata","Fabaceae","sc"
"2899","Medicago rugosa","Fabaceae","sc"
"2900","Medicago ruthenica","Fabaceae","na"
"2902","Medicago sativa","Fabaceae","sc"
"2904","Medicago sauvagei","Fabaceae","sc"
"2905","Medicago scutellata","Fabaceae","sc"
"2906","Medicago secundiflora","Fabaceae","sc"
"2908","Medicago shepardii","Fabaceae","sc"
"2909","Medicago soleirolii","Fabaceae","sc"
"2910","Medicago sphaerocarpos","Fabaceae","sc"
"2911","Medicago suffruticosa","Fabaceae","sc"
"2913","Medicago syriaca","Fabaceae","sc"
"2914","Medicago tenoreana","Fabaceae","sc"
"2915","Medicago tornata","Fabaceae","sc"
"2917","Medicago truncatula","Fabaceae","sc"
"2918","Medicago turbinata","Fabaceae","sc"
"2920","Megacorax gracielanus","Onagraceae","sc"
"2921","Megaleranthis saniculifolia","Ranunculaceae","sc"
"2922","Melaleuca acuminata","Myrtaceae","sc"
"2923","Melaleuca alternifolia","Myrtaceae","sc"
"2924","Melaleuca deanei","Myrtaceae","si"
"2925","Melilotus altissimus","Fabaceae","sc"
"2926","Melilotus dentatus","Fabaceae","na"
"2927","Melilotus elegans","Fabaceae","sc"
"2928","Melilotus hirsutus","Fabaceae","na"
"2929","Melilotus indicus","Fabaceae","sc"
"2931","Melilotus infestus","Fabaceae","sc"
"2933","Melilotus italicus","Fabaceae","na"
"2934","Melilotus officinalis","Fabaceae","sc"
"2938","Melilotus polonicus","Fabaceae","sc"
"2941","Melilotus segetalis","Fabaceae","sc"
"2942","Melilotus speciosus","Fabaceae","na"
"2943","Melilotus suaveolens","Fabaceae","na"
"2944","Melilotus sulcatus","Fabaceae","sc"
"2945","Melilotus wolgicus","Fabaceae","sc"
"2947","Meliosma tenuis","Sabiaceae","sc"
"2948","Melocactus andinus","Cactaceae","sc"
"2949","Melocactus schatzlii","Cactaceae","sc"
"2950","Melochia nodiflora","Malvaceae","sc"
"2951","Melochia parvifolia","Malvaceae","si"
"2952","Melochia pyramidata","Malvaceae","sc"
"2953","Melochia savannarum","Malvaceae","si"
"2954","Melochia tomentosa","Malvaceae","si"
"2955","Melochia villosa","Malvaceae","si"
"2956","Menonvillea nordenskjoeldii","Brassicaceae","sc"
"2957","Mentha longifolia","Lamiaceae","sc"
"2959","Mentha spicata","Lamiaceae","sc"
"2960","Mercurialis annua","Euphorbiaceae","na"
"2961","Metrosideros bartlettii","Myrtaceae","si"
"2962","Metrosideros collina","Myrtaceae","sc"
"2963","Metrosideros excelsa","Myrtaceae","na"
"2964","Metrosideros polymorpha","Myrtaceae","sc"
"2965","Miconia albicans","Melastomataceae","sc"
"2966","Miconia chamissois","Melastomataceae","si"
"2967","Miconia elegans","Melastomataceae","si"
"2968","Microlaena stipoides","Poaceae","sc"
"2969","Microseris acuminata","Asteraceae","sc"
"2970","Microseris bigelovii","Asteraceae","sc"
"2972","Microseris borealis","Asteraceae","si"
"2973","Microseris campestris","Asteraceae","sc"
"2974","Microseris decipiens","Asteraceae","sc"
"2975","Microseris douglasii","Asteraceae","sc"
"2976","Microseris elegans","Asteraceae","sc"
"2978","Microseris heterocarpa","Asteraceae","sc"
"2979","Microseris howellii","Asteraceae","si"
"2980","Microseris laciniata","Asteraceae","si"
"2981","Microseris lanceolata","Asteraceae","si"
"2982","Microseris sylvatica","Asteraceae","si"
"2983","Microstegium vimineum","Poaceae","sc"
"2984","Mikania micrantha","Asteraceae","si"
"2987","Milicia excelsa","Moraceae","si"
"2988","Mimosa albida","Fabaceae","na"
"2989","Mimosa camporum","Fabaceae","sc"
"2991","Mimosa debilis","Fabaceae","na"
"2992","Mimosa detinens","Fabaceae","sc"
"2993","Mimosa hirsutissima","Fabaceae","na"
"2994","Mimosa itatiaiensis","Fabaceae","si"
"2996","Mimosa microphylla","Fabaceae","na"
"2997","Mimosa monticola","Fabaceae","si"
"2999","Mimosa pigra","Fabaceae","sc"
"3000","Mimosa sensitiva","Fabaceae","na"
"3001","Mimosa tenuiflora","Fabaceae","na"
"3002","Mimosa xanthocentra","Fabaceae","na"
"3003","Mimulus lewisii","Phrymaceae","sc"
"3004","Mimulus ringens","Phrymaceae","sc"
"3005","Mirabilis violacea","Nyctaginaceae","si"
"3006","Miscanthus lutarioriparius","Poaceae","si"
"3007","Mitrastemon yamamotoi","Mitrastemonaceae","sc"
"3008","Mnesithea formosa","Poaceae","sc"
"3009","Momordica charantia","Cucurbitaceae","na"
"3010","Monoon tirunelveliense","Annonaceae","na"
"3011","Montanoa leucantha","Asteraceae","si"
"3012","Moricandia arvensis","Brassicaceae","si"
"3013","Moringa oleifera","Moringaceae","sc"
"3014","Mucuna japira","Fabaceae","sc"
"3015","Mucuna urens","Fabaceae","si"
"3017","Murdannia nudiflora","Commelinaceae","sc"
"3019","Musa acuminata","Musaceae","sc"
"3020","Musa balbisiana","Musaceae","na"
"3021","Musa maclayi","Musaceae","si"
"3022","Musella lasiocarpa","Musaceae","sc"
"3023","Mussaenda lancipetala","Rubiaceae","sc"
"3024","Mussaenda shikokiana","Rubiaceae","sc"
"3025","Mussaenda simpliciloba","Rubiaceae","sc"
"3026","Mutisia campanulata","Asteraceae","sc"
"3027","Mutisia speciosa","Asteraceae","sc"
"3029","Myagrum perfoliatum","Brassicaceae","sc"
"3030","Myosotis forsteri","Boraginaceae","sc"
"3031","Myosotis lytteltonensis","Boraginaceae","sc"
"3032","Myosotis palustris","Boraginaceae","si"
"3033","Myosotis pygmaea","Boraginaceae","sc"
"3034","Myrceugenia alpigena","Myrtaceae","si"
"3035","Myrcia splendens","Myrtaceae","si"
"3036","Myrcianthes coquimbensis","Myrtaceae","sc"
"3037","Myrica rubra","Myricaceae","si"
"3038","Myroxylon peruiferum","Fabaceae","sc"
"3039","Myrrhinium atropurpureum","Myrtaceae","si"
"3040","Myrsine umbellata","Primulaceae","si"
"3041","Myrtus communis","Myrtaceae","sc"
"3042","Narcissus assoanus","Amaryllidaceae","si"
"3043","Narcissus broussonetii","Amaryllidaceae","si"
"3044","Narcissus bulbocodium","Amaryllidaceae","sc"
"3045","Narcissus dubius","Amaryllidaceae","sc"
"3046","Narcissus papyraceus","Amaryllidaceae","si"
"3047","Narcissus pseudonarcissus","Amaryllidaceae","si"
"3048","Narcissus triandrus","Amaryllidaceae","si"
"3049","Nardophyllum bryoides","Asteraceae","si"
"3050","Nassauvia aculeata","Asteraceae","si"
"3051","Nassauvia lagascae","Asteraceae","si"
"3053","Nassauvia magellanica","Asteraceae","si"
"3054","Nassauvia pygmaea","Asteraceae","si"
"3055","Nassauvia revoluta","Asteraceae","si"
"3056","Nasturtium microphyllum","Brassicaceae","sc"
"3057","Nasturtium officinale","Brassicaceae","sc"
"3058","Neoholmgrenia andina","Onagraceae","sc"
"3059","Neonotonia wightii","Fabaceae","sc"
"3060","Neoregelia ibitipocensis","Bromeliaceae","sc"
"3061","Nephrophyllidium crista-galli","Menyanthaceae","si"
"3062","Neptunia major","Fabaceae","sc"
"3063","Neptunia monosperma","Fabaceae","sc"
"3064","Neptunia plena","Fabaceae","sc"
"3065","Neptunia pubescens","Fabaceae","sc"
"3066","Nervilia nipponica","Orchidaceae","sc"
"3067","Neslia paniculata","Brassicaceae","sc"
"3068","Neurachne muelleri","Poaceae","sc"
"3069","Neurachne munroi","Poaceae","sc"
"3070","Neurachne queenslandica","Poaceae","sc"
"3071","Nicandra physalodes","Solanaceae","sc"
"3073","Nicotiana acaulis","Solanaceae","sc"
"3074","Nicotiana africana","Solanaceae","sc"
"3075","Nicotiana alata","Solanaceae","si"
"3076","Nicotiana amplexicaulis","Solanaceae","sc"
"3077","Nicotiana attenuata","Solanaceae","sc"
"3078","Nicotiana benavidesii","Solanaceae","sc"
"3079","Nicotiana benthamiana","Solanaceae","sc"
"3080","Nicotiana bonariensis","Solanaceae","si"
"3081","Nicotiana cavicola","Solanaceae","sc"
"3082","Nicotiana cordifolia","Solanaceae","sc"
"3083","Nicotiana corymbosa","Solanaceae","sc"
"3084","Nicotiana excelsior","Solanaceae","sc"
"3085","Nicotiana forgetiana","Solanaceae","si"
"3086","Nicotiana forsteri","Solanaceae","sc"
"3087","Nicotiana fragrans","Solanaceae","sc"
"3089","Nicotiana glauca","Solanaceae","na"
"3090","Nicotiana glutinosa","Solanaceae","sc"
"3091","Nicotiana goodspeedii","Solanaceae","sc"
"3092","Nicotiana gossei","Solanaceae","sc"
"3093","Nicotiana ingulba","Solanaceae","sc"
"3094","Nicotiana knightiana","Solanaceae","sc"
"3095","Nicotiana linearis","Solanaceae","sc"
"3096","Nicotiana longiflora","Solanaceae","sc"
"3098","Nicotiana maritima","Solanaceae","sc"
"3099","Nicotiana megalosiphon","Solanaceae","sc"
"3100","Nicotiana miersii","Solanaceae","sc"
"3101","Nicotiana mutabilis","Solanaceae","si"
"3102","Nicotiana noctiflora","Solanaceae","si"
"3103","Nicotiana nudicaulis","Solanaceae","sc"
"3104","Nicotiana obtusifolia","Solanaceae","sc"
"3105","Nicotiana occidentalis","Solanaceae","sc"
"3106","Nicotiana otophora","Solanaceae","sc"
"3107","Nicotiana paniculata","Solanaceae","sc"
"3108","Nicotiana petunioides","Solanaceae","si"
"3110","Nicotiana plumbaginifolia","Solanaceae","sc"
"3111","Nicotiana quadrivalvis","Solanaceae","sc"
"3112","Nicotiana repanda","Solanaceae","sc"
"3113","Nicotiana rosulata","Solanaceae","sc"
"3114","Nicotiana rotundifolia","Solanaceae","sc"
"3115","Nicotiana rustica","Solanaceae","sc"
"3116","Nicotiana setchellii","Solanaceae","sc"
"3117","Nicotiana simulans","Solanaceae","sc"
"3118","Nicotiana solanifolia","Solanaceae","sc"
"3119","Nicotiana stocktonii","Solanaceae","sc"
"3120","Nicotiana suaveolens","Solanaceae","sc"
"3121","Nicotiana sylvestris","Solanaceae","sc"
"3122","Nicotiana tomentosa","Solanaceae","si"
"3123","Nicotiana tomentosiformis","Solanaceae","sc"
"3124","Nicotiana umbratica","Solanaceae","sc"
"3125","Nicotiana undulata","Solanaceae","sc"
"3127","Nicotiana velutina","Solanaceae","sc"
"3128","Nicotiana wigandioides","Solanaceae","sc"
"3129","Nierembergia linariifolia","Solanaceae","si"
"3130","Nierembergia scoparia","Solanaceae","si"
"3131","Nierembergia veitchii","Solanaceae","si"
"3132","Nigella arvensis","Ranunculaceae","na"
"3133","Nigella damascena","Ranunculaceae","sc"
"3134","Noccaea caerulescens","Brassicaceae","sc"
"3135","Noccaea magellanica","Brassicaceae","sc"
"3136","Noccaea violascens","Brassicaceae","sc"
"3137","Nolana acuminata","Solanaceae","si"
"3138","Nolana aticoana","Solanaceae","si"
"3139","Nolana balsamiflua","Solanaceae","si"
"3140","Nolana ivaniana","Solanaceae","si"
"3141","Nolana laxa","Solanaceae","si"
"3142","Nolana plicata","Solanaceae","si"
"3143","Nolana rostrata","Solanaceae","si"
"3144","Nolana rupicola","Solanaceae","si"
"3145","Nothofagus alpina","Nothofagaceae","si"
"3147","Nothofagus betuloides","Nothofagaceae","si"
"3148","Nothofagus dombeyi","Nothofagaceae","sc"
"3149","Nothofagus glauca","Nothofagaceae","si"
"3150","Nothofagus nitida","Nothofagaceae","si"
"3151","Nothofagus obliqua","Nothofagaceae","si"
"3152","Nothofagus truncata","Nothofagaceae","si"
"3153","Notholithocarpus densiflorus","Fagaceae","si"
"3154","Notoceras bicorne","Brassicaceae","sc"
"3155","Notylia barkeri","Orchidaceae","si"
"3156","Notylia longispicata","Orchidaceae","si"
"3157","Notylia nemorosa","Orchidaceae","si"
"3158","Notylia orbicularis","Orchidaceae","si"
"3159","Notylia trisepala","Orchidaceae","si"
"3160","Nouelia insignis","Asteraceae","na"
"3161","Nymphaea gracilis","Nymphaeaceae","sc"
"3162","Nymphaea pulchella","Nymphaeaceae","sc"
"3163","Ochthodium aegyptiacum","Brassicaceae","si"
"3164","Oclemena nemoralis","Asteraceae","sc"
"3165","Oeceoclades maculata","Orchidaceae","sc"
"3167","Oenanthe aquatica","Apiaceae","sc"
"3168","Oenocarpus bataua","Arecaceae","na"
"3170","Oenothera acaulis","Onagraceae","sc"
"3171","Oenothera acutissima","Onagraceae","sc"
"3172","Oenothera affinis","Onagraceae","sc"
"3173","Oenothera albicaulis","Onagraceae","si"
"3174","Oenothera anomala","Onagraceae","si"
"3175","Oenothera argillicola","Onagraceae","sc"
"3176","Oenothera arida","Onagraceae","si"
"3177","Oenothera bahia-blancae","Onagraceae","sc"
"3178","Oenothera berlandieri","Onagraceae","si"
"3179","Oenothera biennis","Onagraceae","sc"
