source_row_number,Reference,PubYear,Family,Genus,species,Genus species,Monocot/Dicot/Gymno,"Lform(0=ann,1=Hper,2=Wper)","Pollination(0=anim,1=wind,2=water)",MarkerType,nMarkers,"PopType (0=natural, 1= experimental, 2=seed orchard, 3=agricultural)",nPops(t),Mean-tm,Mean ts,Upper-tm,Where-t,nPops(F),Mech of selfing,Use for t & F?,Mean-F,Lower-F,Upper-F,Where-F,Reference.1
166,Latouche-Hallé et al. 2004,2004,Fabaceae,Dicorynia,guianensis,Dicorynia guianensis,D,2,0,U,6,0,1,0.887,,,Table 2,1,,1,0.0127,,,Table 1 - from Ho vs He,"Latouche-Hallé, C., A. Ramboer, E. Bandou, H. Caron, and A. Kremer. 2004. Long-distance pollen flow and tolerance to selfing in a neotropical tree species. Molecular Ecology 13:1055-1064."
167,Lee et al. 2002,2002,Fabaceae,Intsia,Palembanica,Intsia Palembanica,D,2,0,I,5,0,1,0.766,,,Table 6,,,0,,,,,"Lee, S. L., K. K. S. Ng, L. G. Saw, A. Norwati, M. H. S. Salwana, C. T. Lee, and M. Norwati. 2002. Population genetics of Intsia palembanica (Leguminosae) and genetic conservation of virgin jungle reserves in peninsular Malaysia. American Journal of Botany 89:447-459."
168,Louati-Namouchi et al. 2000,2000,Fabaceae,Hedysarum,coronarium,Hedysarum coronarium,D,1,0,I,2,0,4,0.898,0.822,1.013,Table II,4,,0,0.042,0.001,0.159,Table IV,"Louati-Namouchi, I., M. Louati, and A. Chriki. 2000. Mating system and multiple paternity in Hedysarum coronarium L. (Fabaceae). Agronomie 20:655-663."
169,Mandal et al.,1995,Fabaceae,Acacia,nilotica,Acacia  nilotica,D,2,0,I,,0,1,0.384,0.18,1.017,Table 1 (range for single locus estimate),,,0,,,,,"Mandal AK, RA Ennos, CW Fagg. 1995. Mating system analysis in a natural population of Acacia nilotica subspecies leiocarpa. Theor Appl Genet 89(7-8):931-935"
170,Marshall & Broué 1973,1973,Fabaceae,Trifolium,subterraneum,Trifolium  subterraneum,D,1,0,I,,0,1,0.0015,,,??,,,0,,,,,"Marshall D.R., P. Broué. 1973. Outcrossing rates in Australian populations of subterranean clover. Aust. J. Agric. Res. 24:863-867."
171,Moffett 1956,1956,Fabaceae,Acacia,mearnsii,Acacia  mearnsii,D,2,0,M,,0,1,0.84,,,??,,,0,,,,,"Moffett, A. A. 1956. Genetical studies in Acacias. I. The estimation of natural crossing in black wattle. Heredity 10:57-67."
172,Molina-Freaner et al. 1992,1992,Fabaceae,Trifolium,hirtum,Trifolium  hirtum,D,0,0,I,,0,3,0.17400000000000002,0.099,0.235,Table 4 (range for multilocus estimate),3,,1,0.4670588235294118,0.3,0.89,Table 5 (minimum variance fixation index among mothers),"Molina-Freaner F, SK Jain. 1992. Breeding systems of hermaphroditic and gynodioecious populations of the colonizing species Trifolium hirtum All. in California. Theor Appl Genet 84:155-160"
173,Moran et al. 1989,1989,Fabaceae,Acacia,auriculiformis,Acacia  auriculiformis,D,2,0,I,9,0,2,0.925,0.92,0.93,Table 5,,,0,,,,,"Moran, G. F., O. Muona, and J. C. Bell. 1989. Breeding systems and genetic diversity in Acacia auriculiformis and A. crassicarpa. Biotropica 21:250-256."
174,Moran et al. 1989,1989,Fabaceae,Acacia,crassicarpa,Acacia  crassicarpa,D,2,0,I,7,0,2,0.96,0.93,0.99,Table 5,,,0,,,,,"Moran, G. F., O. Muona, and J. C. Bell. 1989. Breeding systems and genetic diversity in Acacia auriculiformis and A. crassicarpa. Biotropica 21:250-256."
175,"Moran et al. 1989, Moran et al. 1989","1989, 1989",Fabaceae,Acacia,auriculiformis,Acacia  auriculiformis,D,2,0,I,7,0&2,3,0.9425,0.92,0.961,"Table 5, Table 5",,,0,,,,,Species summary
176,Muona et al.,1991,Fabaceae,Acacia,melanoxylon,Acacia  melanoxylon,D,2,0,I,,0,2,0.87,0.86,0.87,Results,,,0,,,,,"Muona O, Moran GF, JC Bell. 1991. Hierarchical patterns of correlated mating in Acacia melanoxylon. Genetics 127:619-626"
177,Murawski & Hamrick 1991,1991,Fabaceae,Platypodium,elegans,Platypodium  elegans,D,2,0,I,10,0,2,0.911,0.898,0.924,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174."
178,Murawski & Hamrick 1991,1991,Fabaceae,Tachigali,versicolor,Tachigali versicolor,D,2,0,I,2,0,1,0.937,,,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174"
179,"Murawski & Hamrick 1991, Murawski & Hamrick 1991","1991, 1991",Fabaceae,Platypodium,elegans,Platypodium  elegans,D,2,0,I&U,7,0,3,0.9196666666666667,0.78,0.924,"Table 3, Table 3",1,,0,,,,,Species summary
180,O'Malley & Bawa 1987,1987,Fabaceae,Pithecellobium,pedicellare,Pithecellobium  pedicellare,D,2,0,I,4,0,1,0.951,,,Table 3,1,,1,0.04,,,Table 2,"O'Malley D.M., K.S. Bawa. 1987. Mating system of a tropical rain forest tree species. Amer. J. Bot. 74(8):1143-1149."
181,Polowick et al. 2002,2002,Fabaceae,Pisum,sativum,Pisum sativum,D,0,0,I,,3,1,0.001,,,??,,,0,,,,,"Polowick P.L., Vandenberg A., J.D. Mahon. 2002. Field assessment of outcrossing from transgenic pea (Pisum sativum L.) plants. Transgenic Res 11:515-519."
182,Rocha & Aguilar 2001a,2001,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,D,2,0,I,5,0,2,0.995,0.999,1,Table 6 (range for multi-locus estimate),,,0,,,,,"Rocha OJ, G Aguilar. 2001a. Reproductive biology of the dry forest tree Enterolobium cyclocarpum (Guanacaste) in Costa Rica: a comparison between trees left in pastures and trees in continuous forest. Am. J. Bot. 88:1607-1614"
183,"Polowick et al. 2002, Rocha & Aguilar 2001a","2002, 2001",Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,D,2,0,I,5,0,6,0.6636666666666666,0.812,1,"??, Table 6 (range for multi-locus estimate)",4,,0,,,,,Species summary
184,Rocha & Aguilar 2001b,2001,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,D,2,0,I,5,0,4,0.878,0.812,0.913,Table 2,4,,1,0,,,Results,"Rocha, O. J., and G. Aguilar. 2001b. Variation in the breeding behavior of the dry forest tree Enterolobium cyclocarpum (Guanacaste) in Costa Rica. American Journal of Botany 88:1600-1606."
185,Schoen & Brown 1991,1991,Fabaceae,Glycine,argyrea,Glycine  argyrea,D,1,0,I,5,0,1,0.47,,,Table 4,1,,0,0.13,,,Table 4,"Schoen, D. J., and A. H. D. Brown. 1991. Whole- and within-flower self-pollination in Glycine clandestina and G. argyrea and the evolution of autogamy. Evolution 45:1651-1665."
186,Schoen & Brown 1991,1991,Fabaceae,Glycine,clandestina,Glycine  clandestina,D,1,0,I,5,0,2,0.29,0.11,0.47,Tables 2 & 3,2,,1,0.555,0.38,0.73,Tables 2&3,"Schoen, D. J., and A. H. D. Brown. 1991. Whole- and within-flower self-pollination in Glycine clandestina and G. argyrea and the evolution of autogamy. Evolution 45:1651-1665."
187,Stace 1982,1982,Fabaceae,Stylosanthes,scabra,Stylosanthes  scabra,D,1?,0,I,1,0,1,0.018,,,??,,,0,,,,,Stace H.M. 1982. Breeding systems in Stylosanthes. I. Observations of outcrossing in S. scabra at an alcohol dehydrogenase locus. Austr. J. Agric. Res. 33:87–96.
188,Surles et al. 1990,1990,Fabaceae,Robinia,pseudoacacia,Robinia pseudoacacia,D,2,0,I,6,0,23,0.8,0.46,1.12,Abstract,,,0,,,,,"Surles S.E., Hamrick J.L., B.C. Bongarten. 1990. Mating systems in open-pollinated families of black locust, Robinia pseudoacacia. Silvae Genetica 39:35-40."
189,Suso et al. 2001,2001,Fabaceae,Vicia,faba,Vicia  faba,D,0,0,I,7,3,2,0.475,0.33,0.62,Table 3,,,0,,,,,"Suso M.J., Pierre J., Moreno M.T., Esnault R., J. Le Guen. 2001. Variation in outcrossing levels in faba bean cultivars: role of ecological factors. J. Agric. Sci. 136:399-405."
190,"Surles et al. 1990, Suso et al. 2001","1990, 2001",Fabaceae,Vicia,faba,Vicia  faba,D,0,0,I&M,4,3,10,0.774,0.33,0.66,"Abstract, Table 3",,,0,,,,,Species summary
191,Veasey et al. 2002,2002,Fabaceae,Sesbania,sesban,Sesbania sesban,D,1,0,I,2,1,2,0.6805,0.568,0.793,Table 3,,,0,,,,,"Veasey, E. A., R. Vencovsky, P. S. Martins, and G. Bandel. 2002. Germplasm characterization of Sesbania accessions based on isozyme analyses - Isozyme electrophoresis in Sesbania species. Genetic Resources and Crop Evolution 49:449-462."
192,Yagoubi & Chakri 2000,2000,Fabaceae,Hedysarum,coronarium,Hedysarum coronarium,D,1,0,I,2,0,3,0.83,0.815,0.902,Table VII,3,,0,0.013,-0.167,0.159,Table VII,"Yagoubi, N., and A. Chriki. 2000. Estimation of mating system parameters in Hedysarum coronarium L. (Leguminoseae, Fabaceae). Agronomie 20:933-942."
193,"Veasey et al. 2002, Yagoubi & Chakri 2000","2002, 2000",Fabaceae,Hedysarum,coronarium,Hedysarum coronarium,D,1,0,I,2,0,7,0.7702,0.815,1.013,"Table 3, Table VII",7,,1,0.013,-0.167,0.159,", Table VII",Species summary
194,Young & Brown 1998,1998,Fabaceae,Daviesia,mimosoides,Daviesia mimosoides,D,2,0,I,4,0,5,0.86,0.71,0.96,Table 2,,,0,,,,,"Young, A. G., and A. H. D. Brown. 1998. Comparative analysis of the mating system of the rare woodland shrub Daviesia suaveolens and its common congener D. mimosoides. Heredity 80:374–381."
195,Young & Brown 1998,1998,Fabaceae,Daviesia,suaveolens,Daviesia suaveolens,D,2,0,I,4,0,3,0.9,0.78,1,Table 2,,,0,,,,,"Young, A. G., and A. H. D. Brown. 1998. Comparative analysis of the mating system of the rare woodland shrub Daviesia suaveolens and its common congener D. mimosoides. Heredity 80:374–381."
196,Wang 2003,2003,Fagaceae,Fagus,sylvatica,Fagus sylvatica,D,2,1,I,9,0,1,1.015,,,Abstract,,,0,,,,,"Wang, K. S. 2003. Relationship between empty seed and genetic factors in European beech (Fagus sylvatica L.). Silva Fennica 37:419-428."
197,Dudash & Barrett 1989,1989,Gentianaceae,Sabatia,angularis,Sabatia angularis,D,1,0,I,,0,2,0.723,0.71,0.72,Abstract,,,0,,,,,"Dudash M.R., S.C.H. Barrett. 1989. The influence of environmental and demographic factors on the mixed mating system of Sabatia angularis. Amer. J. Bot. 76 (suppl) abstract no 261."
198,Jesson & Barrett 2002,2002,Haemodoraceae,Wachendorfia,brachyandra,Wachendorfia brachyandra,M,1,0,I,3,0,2,0.48839750931585,0.388,0.589,Fig. 5,,,0,,,,,"Jesson, L. K., and S. C. H. Barrett. 2002. Enantiostyly in Wachendorfia (Haemodoraceae): The influence of reproductive systems on the maintenance of the polymorphism. American Journal of Botany 89:253-262."
199,Jesson & Barrett 2002,2002,Haemodoraceae,Wachendorfia,paniculata,Wachendorfia paniculata,M,1,0,I,5,0,4,0.8581,0.777,0.988,Fig. 5,,,0,,,,,"Jesson, L. K., and S. C. H. Barrett. 2002. Enantiostyly in Wachendorfia (Haemodoraceae): The influence of reproductive systems on the maintenance of the polymorphism. American Journal of Botany 89:253-262."
200,Jesson & Barrett 2002,2002,Haemodoraceae,Wachendorfia,parviflora,Wachendorfia parviflora,M,1,0,I,3,0,2,0.3454,0.0757,0.6151,Fig. 5,,,0,,,,,"Jesson, L. K., and S. C. H. Barrett. 2002. Enantiostyly in Wachendorfia (Haemodoraceae): The influence of reproductive systems on the maintenance of the polymorphism. American Journal of Botany 89:253-262."
201,Jesson & Barrett 2002,2002,Haemodoraceae,Wachendorfia,thyrsiflora,Wachendorfia thyrsiflora,M,1,0,I,3,0,1,0.7577,,,Fig. 5,,,0,,,,,"Jesson, L. K., and S. C. H. Barrett. 2002. Enantiostyly in Wachendorfia (Haemodoraceae): The influence of reproductive systems on the maintenance of the polymorphism. American Journal of Botany 89:253-262."
202,Wolfe & Shore 1992,1992,Hydrophyllaceae,Hydrophyllum,appendiculata,Hydrophyllum  appendiculata,D,0,0,I,3,0,4,0.7075,0.62,0.81,Table 2 (range for multilocus estimate),,,0,,,,,"Wolfe LM, JS Shore. 1992. The mating system of Hydrophyllum appendiculatum, a protandrous species. Sexual Plant Reproduction 5:239-245"
203,Cruzan et al. 1994,1994,Iridaceae,Iris,fulva,Iris  fulva,M,1,0,I,,0,1,0.752,,,Table 1,,,0,,,,,"Cruzan MB, Hamrick JL, Arnold ML, BD Bennett. 1994. Mating system variation in hybridizing irises: effects of phenology and floral densities on family outcrossing rates. Heredity 72:95-105"
204,Cruzan et al. 1994,1994,Iridaceae,Iris,hexagona,Iris  hexagona,M,1,0,I,,0,1,0.9,,,Table 1,,,0,,,,,"Cruzan MB, Hamrick JL, Arnold ML, BD Bennett. 1994. Mating system variation in hybridizing irises: effects of phenology and floral densities on family outcrossing rates. Heredity 72:95-105"
205,Rink et al. 1989,1989,Juglandaceae,Juglans,nigra,Juglans  nigra,D,2,1,I,,0,1,0.905,,,??,,,0,,,,,"Rink, G., E. R. Carroll, and F. H. King. 1989. Estimation of Juglans nigra L. mating system parameters. Forest Science 35:623-627."
206,Assouad et al. 1978,1978,Lamiaceae,Thymus,vulgaris,Thymus vulgaris,D,1,0,I,,0,1,0.7,,,??,,,0,,,,,"Assouad, M. W., B. Dommée, R. Lumaret, and G. Valdeyron. 1978. Reproductive capacities in the sexual forms of the gynodioecious species Thymus vulgaris L. Botanical Journal of the Linnean Society 77:29-39."
207,Krishnan 1981,1981,Lamiaceae,Ocimum,basilicum,Ocimum  basilicum,D,1,0,M,,0,1,0.667,,,??,,,0,,,,,Krishnan R. 1981. Natural outcrossing in sweet basil Ocimum basilicum L. Indian Perfumer 23(3/4):74-77.
208,Valdeyron et al. 1977,1977,Lamiaceae,Thymus,vulgaris,Thymus vulgaris,D,1,0,I,,0,4,0.675,0.51,0.9,abstract,,,0,,,,,"Valdeyron G, Dommee B, P Vernet. 1977. Self-fertilisation in male-fertile plants of a gynodioecious species: Thymus vulgaris L.. Heredity 39(2):243-249"
209,"Krishnan 1981, Valdeyron et al. 1977","1981, 1977",Lamiaceae,Thymus,vulgaris,Thymus vulgaris,D,1,0,I,,0,5,0.6734,0.51,0.9,"??, abstract",,,0,,,,,Species summary
210,van Treuren et al. 1993,1993,Lamiaceae,Salvia,pratensis,Salvia  pratensis,D,1,0,I,9,0,4,0.645,0.382,0.818,Table 3,4,,1,-0.024,-0.051,0.007,Table 3,"vanTreuren, R., R. Bijlsma, N. J. Ouborg, and W. vanDelden. 1993. The effects of population size and plant density on outcrossing rates in locally endangered Salvia pratensis. Evolution 47:1094-1104."
211,Murawski & Hamrick 1991,1991,Lauraceae,Beilschmedia,pendula,Beilschmedia  pendula,D,2,0,I,3,0,1,0.918,,,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174"
212,O' Malley et al. 1988,1988,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,D,2,0,I,2,0,1,0.849,,,Table 2 (range for single locus estimate),1,,1,-0.207,-0.309,-0.105,Table 1,"O'Malley DM, Buckley DP, Prance GT, KS Bawa. 1988. Genetics of brazil nut Bertholletia excelsa Humb. & Bompl. Lecythidaceae) 2. Mating system. Theor Appl Genet 76: 929-932"
213,He et al. 1998,1998,Liliaceae,Ophiopogon,xylorrhizus,Ophiopogon xylorrhizus,M,1,0,I,8,0,3,0.293666666666667,0.091,0.467,Table 2,3,,1,0.267,0.14,0.374,Table 2,"He TH, Rao GY, You RL, S Ge. 1998. Mating system of Ophiopogon xylorrhizus (Liliaceae), an endangered species in Southwest China. Int J Plant Sci 159:440-445."
214,Maki 1993,1993,Liliaceae,Chionographis,japonica,Chionographis  japonica,M,1,0,I,3,0,2,0.1655,0,0.331,Table 1 - I weighted by sex ratio,,,0,,,,,"Maki, M. 1993. Outcrossing and fecundity advantage of females in gynodioecious Chionographis japonica var. kurohimensis (Liliaceae). American Journal of Botany 80:629–634."
215,Morinaga et al. 2003,2003,Liliaceae,Heloniopsis,orientalis,Heloniopsis orientalis,M,1,0,U,3,0,2,0.519345,0.499,0.54,Results,,,0,,,,,"Morinaga, S. I., K. Tsuji, and S. Sakai. 2003. Consequences of differences in flowering date on seed production in Heloniopsis orientalis (Liliaceae). American Journal of Botany 90:1153-1158."
216,Rigney et al. 1993,1993,Liliaceae,Erythronium,grandiflorum,Erythronium  grandiflorum,M,1,0,I,,0,3,0.82,0.808,0.831,Results (estimation of outcrossing rate),,,0,,,,,"Rigney LP, Thomson JD, Cruzan MB, J Brunet. 1993. Differential success of pollen donors in a self-compatible lily. Evolution 47:915-924"
217,Stevens & Bougourd 1988,1988,Liliaceae,Allium,schoenoprasum,Allium schoenoprasum,M,1,0,I,,0,1,0.91,0.88,0.97,Table 3,,,0,,,,,"Stevens JP, SM Bougourd. 1988. Inbreeding depression and the outcrossing rate in natural populations of Allium schoenoprasum L. (wild chives). Heredity 60(2):257-262"
218,Jain 1978,1978,Limnanthaceae,Limnanthes,alba,Limnanthes  alba,D,0,0,I,2,0,6,0.78,0.43,0.96,Table 1,,,0,,,,,"Jain, S. K. 1978. Breeding system in Limnanthes alba: several alternative maesures. American Journal of Botany 65:272-275."
219,"Stevens & Bougourd 1988, Jain 1978","1988, 1978",Limnanthaceae,Limnanthes,alba,Limnanthes  alba,D,0,0,I,,0,8,0.7985714285714286,0.43,0.96,"Table 3, Table 1",,,0,,,,,Species summary
220,Kesseli & Jain 1985,1985,Limnanthaceae,Limnanthes,bakeri,Limnanthes  bakeri,D,0,0,I,4,0,1,0.21,,,Table 3,1,,1,0.25,,,,"Kesseli, R. W., and S. K. Jain. 1985. Breeding systems and population structure in Limnanthes. Theoretical and Applied Genetics 71:292-299."
221,Kesseli & Jain 1985,1985,Limnanthaceae,Limnanthes,douglasii douglasii,Limnanthes  douglasii douglasii,D,0,0,I,9,0,1,0.87,,,Table 3,1,,1,0.05,,,,"Kesseli, R. W., and S. K. Jain. 1985. Breeding systems and population structure in Limnanthes. Theoretical and Applied Genetics 71:292-299."
222,Kesseli & Jain 1985,1985,Limnanthaceae,Limnanthes,douglasii nivea,Limnanthes  douglasii nivea,D,0,0,I,7,0,1,0.82,,,Table 3,1,,1,0.012,,,,"Kesseli, R. W., and S. K. Jain. 1985. Breeding systems and population structure in Limnanthes. Theoretical and Applied Genetics 71:292-299."
223,Kesseli & Jain 1985,1985,Limnanthaceae,Limnanthes,douglasii rosea,Limnanthes  douglasii rosea,D,0,0,I,10,0,3,0.823,0.75,0.95,Table 3,3,,1,-0.0743,,,,"Kesseli, R. W., and S. K. Jain. 1985. Breeding systems and population structure in Limnanthes. Theoretical and Applied Genetics 71:292-299."
224,Ritland & Jain 1981,1981,Limnanthaceae,Limnanthes,alba,Limnanthes  alba,D,0,0,I,,0,2,0.795,0.68,0.91,Table 3 (range for multilocus estimate),,,0,,,,,"Ritland K, S Jain. 1981. A model for the estimation of outcrossing rate and gene frequencies using n independent loci. Heredity 47:35-52"
225,Johnston 1990,1990,Lobeliaceae,Lobelia,cardinalis,Lobelia  cardinalis,D,1,0,I,,0,1,0.73,,,??,,,0,,,,,"Johnston, M. O. 1990. Natural selection, inbreeding depression and self-fertilization in two species of Lobelia with different pollinators. university of Chicago, Chicago, Illinois, U.S.A."
226,Eckert 2002,2002,Lythraceae,Decodon,verticillatus,Decodon verticillatus,D,2,0,I,3,0,15,0.732,0.627,0.856,Results,15,,1,-0.026,-0.239,0.101,Results,"Eckert. 2002. Eckert, C. G. 2002. Effect of geographical variation in pollinator fauna on the mating system of Decodon verticillatus (Lythraceae). International Journal of Plant Science 163:123-132.. Int J Plant Sci 163:123-132"
227,Knapp et al. 1991,1991,Lythraceae,Cuphea,lanceolata,Cuphea lanceolata,D,0,0,I,5,1,6,0.811666666666667,0.61,0.94,Abstract,,,0,,,,,"Knapp, SJ, Tagliani LA, BH Liu. 1991. Outcrossing rates of experimental populations of Cuphea lanceolata. Plant Breeding 106:334-337."
228,Krueger & Knapp 1991,1991,Lythraceae,Cuphea,laminuligera,Cuphea laminuligera,D,0,0,I,,0,4,0.9466666666666667,0.83,1.01,Table 1 (range for multilocus estimate),,,0,,,,,"Krueger SK, SJ Knapp. 1991. Mating systems of Cuphea laminuligera and Cuphea lutea. Theor Appl Genet 82:221-226"
229,Krueger & Knapp 1991,1991,Lythraceae,Cuphea,lutea,Cuphea lutea,D,0,0,I,,0,3,0.29333333333333333,0.17,0.54,Table 3 (range for multilocus estimate),,,0,,,,,"Krueger SK, SJ Knapp. 1991. Mating systems of Cuphea laminuligera and Cuphea lutea. Theor Appl Genet 82:221-226"
230,Brotoschol et al. 1986,1986,Magnoliaceae,Liriodendron,tulipifera,Liriodendron tulipifera,D,2,0,I,,0,2,0.705,0.55,0.86,??,,,0,,,,,"Brotoschol, J. V., J. H. Roberds, and G. Mankoong. 1986. Allozyme variation among North Carolina populations of Liriodendron tulipifera L. Silvae Genetica 35:131-138."
231,Ishida et al. 2003,2003,Magnoliaceae,Magnolia,obovata,Magnolia obovata,D,2,0,I,4,0,1,0.405,0.39,0.42,Table 1,,,0,,,,,"Ishida, K., H. Yoshimaru, and H. Ito. 2003. Effects of geitonogamy on the seed set of Magnolia obovata Thunb. (Magnoliaceae). International Journal of Plant Sciences 164:729-735."
232,Lopes et al. 2002,2002,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,D,2,0,I,7,0,1,1.013,,,Table 1,1,,1,-0.421,,,Table 1,"Lopes, R., C. H. Bruckner, and M. T. G. Lopes. 2002. Estimation of outcrossing rates in acerola (Malpighia emarginata) based on isoenzymic data. Pesquisa Agropecuaria Brasileira 37:321-327."
233,Andersen 1988,1988,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,D,0,0,M,,0,1,0.057,,,??,,,0,,,,,Andersen R.N. 1988. Outcrossing in velvetleaf (Abutilon theophrasti). Weed Sci 36(5):599-602.
234,Crawford 1984,1984,Malvaceae,Malva,moschata,Malva  moschata,D,1,0,I,,0,1,0.64,.,,Variation in flower number between plants (Ne/N which earlier in the paper is eqn 9 that calculates t),,,0,,,,,"Crawford TJ. 1984. What is a population?. In Shorrocks, B (ed) Evolutionary Ecology. Blackwell Scientific, Oxford UK: 135-173"
235,Broyles et al. 1997,1997,Melanthiaceae,Trillium,erectum,Trillium erectum,M,1,0,I,11,0,1,0.423,,,Table 3,1,facil,1,0.0091,,,,"Broyles SB, Sherman-Broyles SL, P Rogati. 1997. Evidence of outcrossing in Trillium erectum and Trillium grandiflorum (Liliaceae). J of Heredity 88:325-329"
236,Broyles et al. 1997,1997,Melanthiaceae,Trillium,grandiflorium,Trillium grandiflorium,M,1,0,I,8,0,1,0.761,,,Table 3,1,auton,1,-0.538,,,,"Broyles SB, Sherman-Broyles SL, P Rogati. 1997. Evidence of outcrossing in Trillium erectum and Trillium grandiflorum (Liliaceae). J of Heredity 88:325-329"
237,"Broyles et al. 1997, Broyles et al. 1997","1997, 1997",Melanthiaceae,Trillium,erectum,Trillium erectum,M,1,0,I,7.5,0,2,0.592,0.423,0.529,"Table 3, Table 3",,,0,,,,,Species summary
238,"Broyles et al. 1997, Broyles et al. 1997, Broyles et al. 1997","1997, 1997, 1997",Melanthiaceae,Trillium,grandiflorium,Trillium grandiflorium,M,1,0,I,5,0,2,0.6483333333333333,0.681,0.729,"Table 3, Table 3, Table 3",,,0,,,,,Species summary
239,Sage et al. 2001,2001,Melanthiaceae,Trillium,erectum,Trillium erectum,M,1,0,I,4,0,1,0.529,,,Results,,,0,,,,,"Sage, T. L., S. R. Griffin, V. Pontieri, P. Drobac, W. W. Cole, and S. C. H. Barrett. 2001. Sigmatic self-incompatibility and Mating Patterns in Trillium grandiflorum and Trillium erectum (Melanthiaceae). Annals of Botany 88:829-841."
240,Sage et al. 2001,2001,Melanthiaceae,Trillium,grandiflorium,Trillium grandiflorium,M,1,0,I,2,0,1,0.681,,,Results,,,0,,,,,"Sage, T. L., S. R. Griffin, V. Pontieri, P. Drobac, W. W. Cole, and S. C. H. Barrett. 2001. Sigmatic self-incompatibility and Mating Patterns in Trillium grandiflorum and Trillium erectum (Melanthiaceae). Annals of Botany 88:829-841."
241,Doliges & Joly 1997,1997,Meliaceae,Carapa,procera,Carapa  procera,D,2,0,I,10,0,1,0.78,,,Table 4,,,0,,,,,"Doligez, A., and H. I. Joly. 1997. Mating system of Carapa guianensis (Meliaceae) in the French Guiana tropical forest. American Journal of Botany 48:461-470."
242,Hall et al. 1994,1994,Meliaceae,Carapa,guianensis,Carapa  guianensis,D,2,0,I,6,0,2,0.977,0.967,0.986,Table 3,,,0,,,,,"Hall, P., L. C. Orrell, and K. S. Bawa. 1994. Genetic diversity and mating system in a tropical tree, Carapa guianensis (Meliaceae). American Journal of Botany 81:1104-1111."
243,James et al. 1998,1998,Meliaceae,Cedrela,odorata,Cedrela odorata,D,2,0,I,4,0,1,0.969,,,Table 2,,,0,,,,,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587-594."
244,Kundu 1999,1999,Meliaceae,Azadirachta,indica,Azadirachta indica,D,2,0,I,3,0,1,0.904,,,Results,,,0,,,,,Kundu 1999  ???
245,Murawski & Hamrick 1991,1991,Meliaceae,Trichilia,tuberculata,Trichilia  tuberculata,D,2,0,I,3,0,1,1.077,,,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174"
246,Alvarez-Buylla & Garay 1994,1994,Moraceae,Cecropia,obtusifolia,Cecropia obtusifolia,D,2,0,I,,0,8,0.974,,,Results,1,none,1,-0.0421,,,Table 6,"Alvarez-Buylla ER, AA Garay. 1994. Population genetic structure of Cecropia obtusifolia, a tropical pioneer tree species. Evolution 48:437-453"
247,Murawski & Hamrick 1991,1991,Moraceae,Brosimum,alicastrum,Brosimum  alicastrum,D,2,0,I,7,0,1,0.875,,,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174"
248,Murawski & Hamrick 1991,1991,Moraceae,Sorocea,affinis,Sorocea affinis,D,2,0,I,5,0,2,1.029,0.969,1.089,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174"
249,Ge & Sun 1999,1999,Myrsinaceae,Aegiceras,corniculatum,Aegiceras corniculatum,D,2,0,S,,0,1,0.653,,,Abstract,,,0,,,,,"Ge, X. J., and M. Sun. 1999. Reproductive biology and genetic diversity of a cryptoviviparous mangrove Aegiceras corniculatum (Myrsinaceae) using allozyme and intersimple sequence repeat (ISSR) analysis. Molecular Ecology 8:2061-2069."
250,Pascarella 1997,1997,Myrsinaceae,Ardisia,escalloniodes,Ardisia escalloniodes,D,2,0,I,5,0,4,0.6295,0.39,1.051,Table 1,4,,1,-0.265,-0.3,-0.207,Table 3,"Pascarella, J. B. 1997. The mating system of the tropical understory shrub Ardisia eascalloniodes (Myrsinaceae). American Journal of Botany 87:456-460."
251,Brown et al. 1975,1975,Myrtaceae,Eucalyptus,obliqua,Eucalyptus  obliqua,D,2,0,I,3,2,4,0.763,0.64,0.84,Table 3,,,0,,,,,"Brown, A. H. D., A. C. Matheson, and K. G. Eldredge. 1975. Estimation of the mating system of Eucalyptus obliqua L'He´rit. using allozyme polymorphisms. Australian Journal of Biological Science 23:931-949."
