accepted_species,genus,family,n_islands,n_records
Anthoxanthum monticola,Anthoxanthum,Poaceae,126,1060
Eleocharis dulcis,Eleocharis,Cyperaceae,71,457
Metrosideros fulgens,Metrosideros,Myrtaceae,12,9324
Claoxylon hillii,Claoxylon,Euphorbiaceae,22,72
Rosa luciae,Rosa,Rosaceae,62,1181
Parsonsia heterophylla,Parsonsia,Apocynaceae,13,5551
Prunella laciniata,Prunella,Lamiaceae,41,970
Heteroblemma alternifolium,Heteroblemma,Melastomataceae,5,90
Sida glomerata,Sida,Malvaceae,19,78
Rhododendron hypoleucum,Rhododendron,Ericaceae,13,68
Lodoicea maldivica,Lodoicea,Arecaceae,6,121
Strobilanthes blumeana,Strobilanthes,Acanthaceae,6,31
Lindera communis,Lindera,Lauraceae,6,970
Myrsine chathamica,Myrsine,Primulaceae,7,160
Cyrtandra nemorosa,Cyrtandra,Gesneriaceae,3,7
Aporosa prainiana,Aporosa,Phyllanthaceae,7,91
Lemna obscura,Lemna,Araceae,7,13
Helleborus niger,Helleborus,Ranunculaceae,17,141
Polyalthia celebica,Polyalthia,Annonaceae,4,42
Cardamine pensylvanica,Cardamine,Brassicaceae,37,236
Serjania atrolineata,Serjania,Sapindaceae,7,34
Citrus taitensis,Citrus,Rutaceae,6,13
Silene hampeana,Silene,Caryophyllaceae,28,695
Bupleurum baldense,Bupleurum,Apiaceae,18,379
Hesperocnide tenella,Hesperocnide,Urticaceae,6,47
Salix pedicellata,Salix,Salicaceae,10,69
Ficus simplicissima,Ficus,Moraceae,12,251
Piper fungiforme,Piper,Piperaceae,4,10
Pseudorontium cyathiferum,Pseudorontium,Plantaginaceae,14,71
Osmoxylon pectinatum,Osmoxylon,Araliaceae,5,40
Cestrum alternifolium,Cestrum,Solanaceae,11,23
Alpinia vulcanica,Alpinia,Zingiberaceae,3,8
Laxmannia orientalis,Laxmannia,Asparagaceae,11,387
Manilkara hexandra,Manilkara,Sapotaceae,3,46
Begonia majungaensis,Begonia,Begoniaceae,1,85
Beta macrocarpa,Beta,Amaranthaceae,19,118
Calystegia lucana,Calystegia,Convolvulaceae,10,215
Pandanus dorystigma,Pandanus,Pandanaceae,2,17
Lobelia simplicicaulis,Lobelia,Campanulaceae,4,59
Lithocarpus blumeanus,Lithocarpus,Fagaceae,4,58
Polygonum argyrocoleum,Polygonum,Polygonaceae,12,71
Monteverdia versluysii,Monteverdia,Celastraceae,3,58
Heliciopsis incisa,Heliciopsis,Proteaceae,2,25
Cistanche tubulosa,Cistanche,Orobanchaceae,9,19
Ziziphus calophylla,Ziziphus,Rhamnaceae,4,28
Chisocheton macrophyllus,Chisocheton,Meliaceae,4,55
Myosotis spathulata,Myosotis,Boraginaceae,6,180
Sloanea laurifolia,Sloanea,Elaeocarpaceae,2,6
Syringa chinensis,Syringa,Oleaceae,3,29
Euclea divinorum,Euclea,Ebenaceae,2,38
Phedimus stolonifer,Phedimus,Crassulaceae,5,28
Fagraea tacapala,Fagraea,Gentianaceae,3,31
Rhus ovata,Rhus,Anacardiaceae,3,145
Causonis pterita,Causonis,Vitaceae,4,4
Rinorea longiracemosa,Rinorea,Violaceae,5,109
Hopea novoguineensis,Hopea,Dipterocarpaceae,3,6
Amphilophium carolinae,Amphilophium,Bignoniaceae,3,5
Horsfieldia sinclairii,Horsfieldia,Myristicaceae,2,35
Allium proliferum,Allium,Amaryllidaceae,6,7
Lagenaria breviflora,Lagenaria,Cucurbitaceae,3,18
Eulobus californicus,Eulobus,Onagraceae,5,38
Mascagnia buchii,Mascagnia,Malpighiaceae,2,7
Oryctanthus occidentalis,Oryctanthus,Loranthaceae,2,31
Patersonia occidentalis,Patersonia,Iridaceae,5,245
Schoenobiblus grandifolia,Schoenobiblus,Thymelaeaceae,2,56
Rhipsalis paradoxa,Rhipsalis,Cactaceae,3,19
Garcinia fruticosa,Garcinia,Clusiaceae,2,6
Saharanthus ifniensis,Saharanthus,Plumbaginaceae,2,10
Tillandsia exserta,Tillandsia,Bromeliaceae,2,26
Comesperma integerrimum,Comesperma,Polygalaceae,2,13
Bulbinella modesta,Bulbinella,Asphodelaceae,1,87
