block_id,download_key,doi,n_block_member_islands,n_islands_available_for_assignment,archive_path,archive_sha256,archive_bytes,n_source_rows,n_valid_coordinate_rows,n_exact_island_rows_before_dedup,n_buffer_only_rows,n_rows_retained_after_global_dedup,collection_status,error
gbif_block_cell_w+000.0_s-60.0_001,0013896-260623161305970,10.15468/dl.us5ezv,2,2,data/v2/staging/gbif/archives/0013896-260623161305970.zip,2e6c3fe739b586d3825f83ef1145d37fe1459834bdcc473dba3ba1b8959aff7b,35707,460,460,370,90,370,collected,
gbif_block_cell_w+030.0_s+00.0_001,0014221-260623161305970,10.15468/dl.sr69kv,125,125,data/v2/staging/gbif/archives/0014221-260623161305970.zip,5905d66a6eab3659f1c7e76c8b34c26fdf3d3e358aeffa00c99bd27538160e09,1105369,16774,16774,15498,1276,15498,collected,
gbif_block_cell_w+030.0_s+00.0_002,0014559-260623161305970,10.15468/dl.8n5h6m,53,53,data/v2/staging/gbif/archives/0014559-260623161305970.zip,9d8b8492928cc5d32983353bacc6b6a0d45e08c3106cc1f96231fb042e546da3,241470,5070,5070,4986,84,4986,collected,
gbif_block_cell_w+030.0_s+30.0_001,0014222-260623161305970,10.15468/dl.ytrjau,26,26,data/v2/staging/gbif/archives/0014222-260623161305970.zip,01311a41f985d5619d1d60cf480e91a590dcb8aba972e60ffa22f7ed319ead82,9732860,68825,68825,57553,11272,57553,collected,
gbif_block_cell_w+030.0_s+60.0_001,0014560-260623161305970,10.15468/dl.gr4b53,118,118,data/v2/staging/gbif/archives/0014560-260623161305970.zip,ac90bf5c25720240fa12483725d372607230261b9f3ace8de0e70bc7600866b9,1957581,31931,31931,14979,16952,14979,collected,
gbif_block_cell_w+030.0_s-30.0_001,0014747-260623161305970,10.15468/dl.r3fanp,90,90,data/v2/staging/gbif/archives/0014747-260623161305970.zip,85be2f568e5ca3d89b990c713e7d55975d09f574c8f69ac25380d7b63c54c1b1,217355237,1413042,1413042,1375690,37352,1375690,collected,
gbif_block_cell_w+030.0_s-60.0_001,0014748-260623161305970,10.15468/dl.934mj5,6,6,data/v2/staging/gbif/archives/0014748-260623161305970.zip,d8c93f9672a00e7eed6bad0f17fe9339a05ba1c57eee20c628913e50b32e0a64,61556,997,997,930,67,930,collected,
gbif_block_cell_w+060.0_s+00.0_001,0014888-260623161305970,10.15468/dl.kzqkan,67,67,data/v2/staging/gbif/archives/0014888-260623161305970.zip,e7dcc614e88bb0070be0e0471c320178ac1a513dffb518b3eb56c46e1410697f,3424647,39713,39713,38782,931,38782,collected,
gbif_block_cell_w+060.0_s+60.0_001,0014889-260623161305970,10.15468/dl.n8gthy,125,125,data/v2/staging/gbif/archives/0014889-260623161305970.zip,ef4f4193ceb9db4cd2c3fc2fe22e1ee71384c3fa49c118f60fdb45d84787c91d,207078,4046,4046,2519,1527,2519,collected,
gbif_block_cell_w+060.0_s+60.0_002,0014997-260623161305970,10.15468/dl.maxuvg,2,2,data/v2/staging/gbif/archives/0014997-260623161305970.zip,38e0cfc49fec8d32529a6a3b4b4188ce2d0931d61ed271d796b61191abaf8f3d,516,0,0,0,0,0,collected,
gbif_block_cell_w+060.0_s-30.0_001,0014890-260623161305970,10.15468/dl.uerbxu,4,4,data/v2/staging/gbif/archives/0014890-260623161305970.zip,66cff9c9eebfd89ac5189322b40b280fe11a4419edbbec062ac0cbdfc7ec1b01,159938,2034,2034,1346,688,1346,collected,
gbif_block_cell_w+060.0_s-60.0_001,0014998-260623161305970,10.15468/dl.c7tace,18,18,data/v2/staging/gbif/archives/0014998-260623161305970.zip,dbf10b847a30fd588649d7f8a63021204ba43e3892d5407204e7082477389760,161027,2841,2841,2339,502,2339,collected,
gbif_block_cell_w+090.0_s+00.0_001,0014999-260623161305970,10.15468/dl.g3rfaa,125,125,data/v2/staging/gbif/archives/0014999-260623161305970.zip,eda8ab73c261e6d51a603a223638a08af0caaea811a5e0eb1654f0ff67093a5f,77021424,542551,542551,516743,25808,516743,collected,
gbif_block_cell_w+090.0_s+00.0_002,0015144-260623161305970,10.15468/dl.rskswk,125,125,data/v2/staging/gbif/archives/0015144-260623161305970.zip,6853591a670324e913ce7d57e820d619084e7bcd9df74c404fe1b1505f6a2c1e,1542702,17682,17682,11477,6205,11477,collected,
gbif_block_cell_w+090.0_s+00.0_003,0015342-260623161305970,10.15468/dl.xgrt8h,125,125,data/v2/staging/gbif/archives/0015342-260623161305970.zip,164fc99fd8675b1c8d5e85afb68fa3e93c50eb59d732c81f91add72b6504259e,563327,6742,6742,3889,2853,3889,collected,
gbif_block_cell_w+090.0_s+00.0_004,0015436-260623161305970,10.15468/dl.3799rf,125,125,data/v2/staging/gbif/archives/0015436-260623161305970.zip,337e2866b7708904d9be02bb39c1926c9b04152d048bee7a080cb661c6c271f5,1092077,12659,12659,5475,7184,5475,collected,
gbif_block_cell_w+090.0_s+00.0_005,0015557-260623161305970,10.15468/dl.basfkz,125,125,data/v2/staging/gbif/archives/0015557-260623161305970.zip,aaf2fd1deb78d77a1e16e3c8c4dcd8d2abbe823779f45ac3674ab15d0eb718bd,125909,1435,1435,760,675,760,collected,
gbif_block_cell_w+090.0_s+00.0_006,0015708-260623161305970,10.15468/dl.y5tvnw,35,35,data/v2/staging/gbif/archives/0015708-260623161305970.zip,0a04078b8e87e7d0c3b921fb6573f8325c8038421c6b65b798c0abd6db4a8966,71063,904,904,249,655,249,collected,
gbif_block_cell_w+090.0_s+30.0_001,0015147-260623161305970,10.15468/dl.rd2w62,5,5,data/v2/staging/gbif/archives/0015147-260623161305970.zip,0e84bf91672b0e12a132458f40f85b5dcf7a7ec3471361141fb61aa48ed8cc84,2432,11,11,8,3,8,collected,
gbif_block_cell_w+090.0_s+60.0_001,0015149-260623161305970,10.15468/dl.kj7k8y,90,90,data/v2/staging/gbif/archives/0015149-260623161305970.zip,88dd9bd8f841ba64799e6cd5e99866968da7b229fde2a81f319db84b407d69ac,53912,955,955,828,127,828,collected,
gbif_block_cell_w+090.0_s-30.0_001,0015343-260623161305970,10.15468/dl.mhrbwz,125,125,data/v2/staging/gbif/archives/0015343-260623161305970.zip,b19dd2bd5a650fcac642b6dfd856e1f062a1e329d6fe9f6697f5022498c61592,34652983,260346,260346,248532,11814,248532,collected,
